pipeline,question_id,question,accepted_pages,retrieved_chunk_ids,retrieved_pages,raw_scores,rank_first_accepted_page,hit,reciprocal_rank,latency_ms
hybrid_rrf,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p012_c01""]","[12, 69, 73, 12]","[0.03252247488101534, 0.032266458495966696, 0.03128054740957967, 0.02976190476190476]",1,True,1.0,27.28969999589026
hybrid_rrf,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c03""]","[12, 13, 12, 13]","[0.03278688524590164, 0.03200204813108039, 0.03200204813108039, 0.029910714285714284]",2,True,0.5,22.581700002774596
hybrid_rrf,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p028_c03"", ""rbi_mpr_2025_04_p016_c01"", ""rbi_mpr_2025_04_p016_c03""]","[16, 28, 16, 16]","[0.032018442622950824, 0.03149801587301587, 0.03128054740957967, 0.030834914611005692]",1,True,1.0,25.103399995714426
hybrid_rrf,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p017_c00"", ""rbi_mpr_2025_04_p046_c00"", ""rbi_mpr_2025_04_p105_c01""]","[17, 17, 46, 105]","[0.03252247488101534, 0.0315136476426799, 0.030090497737556562, 0.028484848484848488]",1,True,1.0,26.305200008209795
hybrid_rrf,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p012_c02"", ""rbi_mpr_2025_04_p028_c03"", ""rbi_mpr_2025_04_p013_c02""]","[12, 12, 28, 13]","[0.031754032258064516, 0.03076923076923077, 0.029418126757516764, 0.01639344262295082]",,False,0.0,26.89849998569116
hybrid_rrf,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p021_c03"", ""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p012_c04""]","[20, 21, 11, 12]","[0.032018442622950824, 0.03200204813108039, 0.030309988518943745, 0.030309988518943745]",1,True,1.0,23.531699960585684
hybrid_rrf,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p025_c02"", ""rbi_mpr_2025_04_p105_c01""]","[25, 105, 25, 105]","[0.03278688524590164, 0.03149801587301587, 0.03128054740957967, 0.030621785881252923]",1,True,1.0,23.508000012952834
hybrid_rrf,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p105_c02""]","[26, 25, 105, 105]","[0.03278688524590164, 0.03200204813108039, 0.031009615384615385, 0.030776515151515152]",1,True,1.0,25.393999996595085
hybrid_rrf,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p030_c01"", ""rbi_mpr_2025_04_p038_c00""]","[25, 25, 30, 38]","[0.03128054740957967, 0.030798389007344232, 0.029910714285714284, 0.02919863597612958]",,False,0.0,27.019199973437935
hybrid_rrf,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c03"", ""rbi_mpr_2025_04_p041_c00""]","[25, 25, 25, 41]","[0.03200204813108039, 0.029850746268656716, 0.02904040404040404, 0.01639344262295082]",,False,0.0,23.574599996209145
hybrid_rrf,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p039_c01""]","[40, 41, 105, 39]","[0.03252247488101534, 0.032266458495966696, 0.030776515151515152, 0.030536130536130537]",1,True,1.0,23.451799992471933
hybrid_rrf,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p100_c02"", ""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p049_c02""]","[100, 101, 12, 49]","[0.030017921146953404, 0.028850145288501453, 0.028370221327967807, 0.01639344262295082]",,False,0.0,28.167099982965738
hybrid_rrf,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p067_c00"", ""rbi_mpr_2025_04_p066_c01""]","[66, 48, 67, 66]","[0.03278688524590164, 0.03200204813108039, 0.03200204813108039, 0.029877369007803793]",,False,0.0,28.37450004881248
hybrid_rrf,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p087_c02"", ""rbi_mpr_2025_04_p047_c00"", ""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p059_c00""]","[87, 47, 16, 59]","[0.030834914611005692, 0.030798389007344232, 0.01639344262295082, 0.01639344262295082]",,False,0.0,24.13999999407679
hybrid_rrf,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p057_c03"", ""rbi_mpr_2025_04_p057_c01"", ""rbi_mpr_2025_04_p042_c01""]","[57, 57, 57, 42]","[0.03225806451612903, 0.032018442622950824, 0.031099324975891997, 0.015873015873015872]",1,True,1.0,24.459499982185662
hybrid_rrf,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p033_c02""]","[61, 61, 32, 33]","[0.03278688524590164, 0.03200204813108039, 0.0315136476426799, 0.029418126757516764]",1,True,1.0,25.834099971689284
hybrid_rrf,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p035_c01"", ""rbi_mpr_2025_04_p032_c00""]","[62, 33, 35, 32]","[0.03252247488101534, 0.03252247488101534, 0.03149801587301587, 0.030536130536130537]",1,True,1.0,25.85999999428168
hybrid_rrf,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p063_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p043_c01"", ""rbi_mpr_2025_04_p063_c01""]","[63, 12, 43, 63]","[0.031054405392392875, 0.030017921146953404, 0.029857397504456328, 0.02821939586645469]",1,True,1.0,25.021599954925478
hybrid_rrf,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p075_c01"", ""rbi_mpr_2025_04_p075_c00"", ""rbi_mpr_2025_04_p069_c00""]","[70, 75, 75, 69]","[0.03252247488101534, 0.029850746268656716, 0.02976190476190476, 0.01639344262295082]",1,True,1.0,24.210600007791072
hybrid_rrf,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p071_c00"", ""rbi_mpr_2025_04_p070_c03"", ""rbi_mpr_2025_04_p069_c04""]","[69, 71, 70, 69]","[0.03252247488101534, 0.03125, 0.01639344262295082, 0.016129032258064516]",2,True,0.5,26.377899979706854
hybrid_rrf,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p060_c00"", ""rbi_mpr_2025_04_p073_c01"", ""rbi_mpr_2025_04_p087_c01""]","[73, 60, 73, 87]","[0.03278688524590164, 0.03125763125763126, 0.03055037313432836, 0.016129032258064516]",1,True,1.0,25.033699988853186
hybrid_rrf,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p113_c01"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p113_c02""]","[78, 113, 79, 113]","[0.03278688524590164, 0.031754032258064516, 0.03149801587301587, 0.030798389007344232]",1,True,1.0,24.564700026530772
hybrid_rrf,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p080_c01"", ""rbi_mpr_2025_04_p080_c02"", ""rbi_mpr_2025_04_p093_c01""]","[80, 80, 80, 93]","[0.03252247488101534, 0.02797339593114241, 0.01639344262295082, 0.016129032258064516]",1,True,1.0,27.198499999940395
hybrid_rrf,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p089_c02"", ""rbi_mpr_2025_04_p088_c01"", ""rbi_mpr_2025_04_p090_c01""]","[89, 89, 88, 90]","[0.03278688524590164, 0.03200204813108039, 0.03125763125763126, 0.030330882352941176]",1,True,1.0,23.79450004082173
hybrid_rrf,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p039_c02"", ""rbi_mpr_2025_04_p044_c01"", ""rbi_mpr_2025_04_p093_c00"", ""rbi_mpr_2025_04_p099_c04""]","[39, 44, 93, 99]","[0.02976190476190476, 0.029437229437229435, 0.01639344262295082, 0.01639344262295082]",3,True,0.3333333333333333,28.958500013686717
hybrid_rrf,q27,How did Euro area and UK GDP growth compare in Q4:2024?,[100],"[""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p100_c01"", ""rbi_mpr_2025_04_p020_c00""]","[100, 100, 100, 20]","[0.03252247488101534, 0.03252247488101534, 0.02857142857142857, 0.027598020555767037]",1,True,1.0,24.17829999467358
hybrid_rrf,q28,How did Brazil's GDP growth move in Q4:2024?,[101],"[""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p047_c02"", ""rbi_mpr_2025_04_p100_c02""]","[101, 12, 47, 100]","[0.032018442622950824, 0.03125763125763126, 0.030536130536130537, 0.03021353930031804]",1,True,1.0,25.032599980477244
hybrid_rrf,q29,What milestone did gold prices cross in Q1:2025?,[105],"[""rbi_mpr_2025_04_p105_c00"", ""rbi_mpr_2025_04_p030_c02"", ""rbi_mpr_2025_04_p046_c01"", ""rbi_mpr_2025_04_p103_c01""]","[105, 30, 46, 103]","[0.03278688524590164, 0.030834914611005692, 0.03036576949620428, 0.030117753623188408]",1,True,1.0,23.51869997801259
hybrid_rrf,q30,How did Russia's CPI inflation move between September 2024 and February 2025?,[106],"[""rbi_mpr_2025_04_p106_c00"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p105_c03""]","[106, 105, 105, 105]","[0.032266458495966696, 0.03225806451612903, 0.03149801587301587, 0.02967032967032967]",1,True,1.0,27.743500017095357
hybrid_reranked,q01,What was India's real GDP growth for 2024-25 per the second advance estimate?,[11],"[""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p012_c04""]","[11, 13, 20, 12]","[7.407985687255859, 7.195098400115967, 4.3146514892578125, 4.147915363311768]",1,True,1.0,903.0238999985158
hybrid_reranked,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c01""]","[69, 73, 12, 12]","[6.031465530395508, 5.4958930015563965, 5.334164142608643, 5.173666000366211]",3,True,0.3333333333333333,786.0832000151277
hybrid_reranked,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c01"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c03""]","[12, 12, 12, 13]","[4.188892841339111, 3.402388095855713, 3.3720240592956543, 3.111870765686035]",4,True,0.25,640.1703000301495
hybrid_reranked,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p016_c01"", ""rbi_mpr_2025_04_p016_c04"", ""rbi_mpr_2025_04_p005_c00""]","[16, 16, 16, 5]","[7.561100959777832, 5.310635089874268, 3.7610678672790527, 3.1826138496398926]",1,True,1.0,758.1889000139199
hybrid_reranked,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p017_c00"", ""rbi_mpr_2025_04_p018_c00"", ""rbi_mpr_2025_04_p019_c02""]","[17, 17, 18, 19]","[7.806324481964111, 6.170855522155762, 5.133172988891602, 4.194817543029785]",1,True,1.0,663.9886000193655
hybrid_reranked,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c01""]","[13, 12, 12, 13]","[9.009799003601074, 7.461174964904785, 7.450684547424316, 7.179372787475586]",,False,0.0,1443.3878000127152
hybrid_reranked,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p020_c03"", ""rbi_mpr_2025_04_p012_c04""]","[20, 12, 20, 12]","[8.098133087158203, 7.546909332275391, 6.932634353637695, 6.8238115310668945]",1,True,1.0,1837.028999987524
hybrid_reranked,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c02"", ""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p105_c01""]","[25, 25, 26, 105]","[6.018729209899902, 5.3748884201049805, 4.719165802001953, 4.607743740081787]",1,True,1.0,911.6287999786437
hybrid_reranked,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c03"", ""rbi_mpr_2025_04_p025_c01""]","[26, 25, 105, 25]","[7.742739677429199, 6.672487258911133, 6.19986629486084, 5.972634792327881]",1,True,1.0,1457.7147000236437
hybrid_reranked,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p038_c00"", ""rbi_mpr_2025_04_p030_c01"", ""rbi_mpr_2025_04_p031_c01""]","[25, 38, 30, 31]","[7.61752986907959, 7.340142250061035, 7.27596378326416, 6.940227031707764]",4,True,0.25,862.4902000301518
hybrid_reranked,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p012_c00""]","[32, 25, 25, 12]","[5.917656421661377, 5.5880537033081055, 4.77730655670166, 4.320079326629639]",1,True,1.0,914.5161000196822
hybrid_reranked,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p039_c01"", ""rbi_mpr_2025_04_p025_c03""]","[40, 41, 39, 25]","[8.15629768371582, 8.086000442504883, 7.952388286590576, 6.425978183746338]",1,True,1.0,1387.3173000174575
hybrid_reranked,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p049_c02"", ""rbi_mpr_2025_04_p048_c02"", ""rbi_mpr_2025_04_p053_c00"", ""rbi_mpr_2025_04_p047_c02""]","[49, 48, 53, 47]","[6.04548978805542, 5.120541572570801, 5.037854194641113, 4.1503424644470215]",2,True,0.5,1650.0526000163518
hybrid_reranked,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p066_c01"", ""rbi_mpr_2025_04_p067_c00""]","[48, 66, 66, 67]","[8.14019775390625, 7.125303268432617, 5.077771186828613, 4.337128639221191]",,False,0.0,1543.9619999960996
hybrid_reranked,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p052_c00"", ""rbi_mpr_2025_04_p059_c01"", ""rbi_mpr_2025_04_p059_c00"", ""rbi_mpr_2025_04_p059_c02""]","[52, 59, 59, 59]","[4.889862060546875, 4.424324035644531, 3.9282424449920654, 2.8758959770202637]",1,True,1.0,1267.0781000051647
hybrid_reranked,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p057_c01"", ""rbi_mpr_2025_04_p057_c03"", ""rbi_mpr_2025_04_p054_c00""]","[57, 57, 57, 54]","[9.051164627075195, 6.726776123046875, 6.460901260375977, 3.394073247909546]",1,True,1.0,1469.8734999983571
hybrid_reranked,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p036_c01""]","[61, 61, 13, 36]","[8.52232551574707, 5.114699840545654, 4.005492687225342, 3.8887698650360107]",1,True,1.0,1013.4322000085376
hybrid_reranked,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p062_c02"", ""rbi_mpr_2025_04_p032_c00""]","[62, 33, 62, 32]","[7.814657688140869, 3.741891860961914, 0.22948883473873138, -0.21946170926094055]",1,True,1.0,1141.2704000249505
hybrid_reranked,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p063_c00"", ""rbi_mpr_2025_04_p061_c00""]","[13, 11, 63, 61]","[5.889703750610352, 5.5213704109191895, 5.392118453979492, 3.231717586517334]",3,True,0.3333333333333333,1249.459599959664
hybrid_reranked,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p075_c00"", ""rbi_mpr_2025_04_p077_c01"", ""rbi_mpr_2025_04_p085_c00""]","[70, 75, 77, 85]","[8.518045425415039, 5.003409385681152, 4.870766639709473, 4.521917819976807]",1,True,1.0,1091.1557000363246
hybrid_reranked,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p071_c00"", ""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p071_c01"", ""rbi_mpr_2025_04_p069_c04""]","[71, 69, 71, 69]","[6.925973415374756, 6.000217914581299, 5.240255355834961, 4.824227333068848]",1,True,1.0,924.8758000321686
hybrid_reranked,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p060_c00"", ""rbi_mpr_2025_04_p073_c01"", ""rbi_mpr_2025_04_p012_c01""]","[73, 60, 73, 12]","[7.560876846313477, 4.895124435424805, 3.5199899673461914, 3.123210906982422]",1,True,1.0,1370.3031000331976
hybrid_reranked,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p081_c00""]","[78, 79, 80, 81]","[9.637723922729492, 5.440991401672363, 5.156606674194336, 4.951419353485107]",1,True,1.0,1346.1516000097618
hybrid_reranked,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p080_c01"", ""rbi_mpr_2025_04_p093_c01"", ""rbi_mpr_2025_04_p079_c00""]","[80, 80, 93, 79]","[8.833587646484375, 1.861008644104004, 1.2157461643218994, 1.0652577877044678]",1,True,1.0,1445.5652000033297
hybrid_reranked,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p088_c01"", ""rbi_mpr_2025_04_p092_c01"", ""rbi_mpr_2025_04_p088_c00""]","[89, 88, 92, 88]","[8.533510208129883, 5.435396194458008, 4.302280426025391, 1.8256759643554688]",1,True,1.0,1547.0550000318326
hybrid_reranked,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p093_c00"", ""rbi_mpr_2025_04_p094_c00"", ""rbi_mpr_2025_04_p044_c01"", ""rbi_mpr_2025_04_p107_c01""]","[93, 94, 44, 107]","[5.677552223205566, 0.9230092167854309, -0.08841059356927872, -0.3678300082683563]",1,True,1.0,1195.6301999744028
hybrid_reranked,q27,How did Euro area and UK GDP growth compare in Q4:2024?,[100],"[""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p047_c02""]","[100, 100, 20, 47]","[7.2485671043396, 7.0083770751953125, 3.885507583618164, 3.3527438640594482]",1,True,1.0,1849.2465000017546
hybrid_reranked,q28,How did Brazil's GDP growth move in Q4:2024?,[101],"[""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p047_c02"", ""rbi_mpr_2025_04_p012_c04""]","[101, 100, 47, 12]","[7.75394344329834, 5.49547815322876, 2.9988040924072266, 2.960391044616699]",1,True,1.0,1719.4610000005923
hybrid_reranked,q29,What milestone did gold prices cross in Q1:2025?,[105],"[""rbi_mpr_2025_04_p105_c00"", ""rbi_mpr_2025_04_p104_c01"", ""rbi_mpr_2025_04_p011_c02"", ""rbi_mpr_2025_04_p030_c01""]","[105, 104, 11, 30]","[4.693974494934082, 4.140514850616455, 2.3279337882995605, 1.5042186975479126]",1,True,1.0,1069.9717999668792
hybrid_reranked,q30,How did Russia's CPI inflation move between September 2024 and February 2025?,[106],"[""rbi_mpr_2025_04_p106_c00"", ""rbi_mpr_2025_04_p105_c03"", ""rbi_mpr_2025_04_p039_c02"", ""rbi_mpr_2025_04_p039_c01""]","[106, 105, 39, 39]","[7.523594856262207, 6.486532211303711, 5.527957916259766, 5.48021125793457]",1,True,1.0,1558.1827000132762
