method,experiment_id,scope,dataset_split,retrieval_or_generation,parser,embedding_model,bm25_enabled,dense_enabled,hybrid_enabled,rrf_enabled,weighted_rrf_enabled,multi_query_enabled,facet_enabled,mmr_enabled,reranker_provider,reranker_model,sufficiency_gate_enabled,hit_rate,all_reports_hit,complete_evidence_recall,evidence_recall,mrr,macro_mrr,factual_correctness,faithfulness_to_context,contextual_relevancy,contextual_recall,citation_correctness,citation_completeness,temporal_attribution_correctness,comparative_correctness,abstention_correctness,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_estimated_tokens,report_coverage,single_report_contamination,status,notes,source_artifact,sort_order
Single-document Dense,dense,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,False,True,False,False,False,False,False,False,,,False,0.8333333333333334,,,,0.6555555555555556,,,,,,,,,,,30.671183332257595,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,1
Single-document Dense + reranker,dense_reranked,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,False,True,False,False,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,0.9,,,,0.8277777777777777,,,,,,,,,,,1075.7706166691303,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,2
Single-document BM25,bm25,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,False,False,False,False,False,False,False,,,False,0.8333333333333334,,,,0.6916666666666667,,,,,,,,,,,2.1740566667479775,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,3
Single-document BM25 + reranker,bm25_reranked,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,False,False,False,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,0.8666666666666667,,,,0.7666666666666667,,,,,,,,,,,785.4780566645786,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,4
Single-document Hybrid RRF,hybrid_rrf,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,,,False,0.8,,,,0.7444444444444444,,,,,,,,,,,25.771019995833438,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,5
Single-document Hybrid RRF + reranker,hybrid_reranked,April 2025 only,rbi_mpr_april_2025_dev_v1,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,0.9333333333333333,,,,0.8222222222222223,,,,,,,,,,,1233.9421933419846,,,,,,completed,Single-document Hit-Rate@4; not directly comparable to multi-report CER.,reports/current/retrieval_summary.json,6
Multi-report naive global retrieval,naive_global,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.16666666666666666,0.1,0.2111111111111111,,0.24166666666666667,,,,,,,,,,898.6596529421685,920.6411000050139,1516.9119000202045,,0.9388888888888889,0.9166666666666666,completed,Naive global retrieval over all reports; higher contamination.,reports/multi_report/architecture_comparison.json,20
Multi-report report-aware retrieval,report_aware_dev,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.36666666666666664,0.3333333333333333,0.46111111111111114,,0.33888888888888885,,,,,,,,,,1684.427826467607,1601.9902000116417,3756.202199991094,,1.0,0.0,completed,Report-aware routing reduced contamination and improved evidence metrics.,reports/multi_report/architecture_comparison.json,30
Dense-only temporal retrieval,dense_temporal_only,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,False,True,False,False,False,False,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,implemented_not_independently_evaluated,Dense retrieval is implemented and used inside hybrid temporal retrieval; no standalone temporal dense-only result artifact was found.,configs/multi_report.yaml; no standalone metric artifact,40
BM25-only temporal retrieval,bm25_temporal_only,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,False,False,False,False,False,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,implemented_not_independently_evaluated,BM25 retrieval is implemented and used inside hybrid temporal retrieval; no standalone temporal BM25-only result artifact was found.,configs/multi_report.yaml; no standalone metric artifact,41
Hybrid BM25 + Dense retrieval with RRF,temporal_baseline,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.36666666666666664,0.3333333333333333,0.46111111111111114,,0.33888888888888885,,,,,,,,,,1297.0392899995204,1333.1663999924785,2233.5885999927996,1293.3333333333333,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/temporal_baseline/summary.json,50
RRF fusion k=10,RRF_K10,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3333333333333333,0.3,0.4444444444444445,,0.3416666666666667,,,,,,,,,,2964.0170299996194,2884.283700004744,5660.0065999955405,1289.8333333333333,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/RRF_K10/summary.json,60
RRF fusion k=30,RRF_K30,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3333333333333333,0.3,0.4277777777777778,,0.33611111111111114,,,,,,,,,,3053.484859999056,2847.663000000466,5664.5794000069145,1294.0666666666666,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/RRF_K30/summary.json,61
RRF fusion k=60,RRF_K60,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3333333333333333,0.3,0.4277777777777778,,0.33611111111111114,,,,,,,,,,3238.7482399998894,3145.510149995971,5231.017600002815,1294.0666666666666,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/RRF_K60/summary.json,62
RRF fusion k=100,RRF_K100,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3333333333333333,0.3,0.4277777777777778,,0.33611111111111114,,,,,,,,,,2894.6911566648246,2800.3196499921614,5318.172899991623,1294.0666666666666,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/RRF_K100/summary.json,63
Weighted RRF D1/B1 reference,WRRF_D1_B1,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3333333333333333,0.3,0.4277777777777778,,0.33611111111111114,,,,,,,,,,2937.9497333332743,2914.2198000045028,5509.534600001643,1294.0666666666666,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/WRRF_D1_B1/summary.json,70
Weighted RRF dense weight 1.5,WRRF_D1.5_B1,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,True,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.36666666666666664,0.3,0.4388888888888889,,0.3333333333333333,,,,,,,,,,3184.607576665197,3027.1667999986676,6260.220299998764,1290.8,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/WRRF_D1.5_B1/summary.json,71
Weighted RRF dense weight 2,WRRF_D2_B1,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,True,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.36666666666666664,0.3,0.4388888888888889,,0.3333333333333333,,,,,,,,,,3386.901633333279,3200.6765000041923,6907.851900003152,1290.8,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/WRRF_D2_B1/summary.json,72
Weighted RRF BM25 weight 1.5,WRRF_D1_B1.5,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,True,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.26666666666666666,0.23333333333333334,0.3111111111111111,,0.26666666666666666,,,,,,,,,,2893.9119733360712,2462.2866499994416,5983.434299996588,1302.0666666666666,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/WRRF_D1_B1.5/summary.json,73
Weighted RRF BM25 weight 2,WRRF_D1_B2,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,True,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.26666666666666666,0.23333333333333334,0.3111111111111111,,0.26666666666666666,,,,,,,,,,2921.4010399989397,2782.7395999993314,4890.835400001379,1302.0666666666666,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/WRRF_D1_B2/summary.json,74
Final local cross-encoder retrieval baseline,ADJ00,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.5055555555555555,,0.3537037037037037,,,,,,,,,,3168.6039699993366,3159.0397500112886,5449.888599992846,2150.9333333333334,1.0,0.0,completed,No adjacent expansion reference.,reports/structural_optimisation/ADJ00/summary.json,80
Local cross-encoder reranking,RERANK00,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.5055555555555555,,0.3537037037037037,,,,,,,,,,3048.256253332753,3096.756450002431,5249.5425999950385,2150.9333333333334,1.0,0.0,completed,Current MiniLM cross-encoder reranker reference.,reports/structural_optimisation/RERANK00/summary.json,81
Candidate-pool/quota optimised retrieval,QUOTA_LARGE,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.5055555555555555,,0.3537037037037037,,,,,,,,,,3823.049619999074,3729.847000002337,6336.110199990799,2150.9333333333334,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/QUOTA_LARGE/summary.json,90
Terminology expansion append,EXP01,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.4888888888888889,,0.31611111111111106,,,,,,,,,,3004.568020000685,2766.1724499994307,4792.89169999538,2156.4333333333334,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/EXP01/summary.json,100
Multi-query retrieval / terminology expansion,EXP02,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,True,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.4888888888888889,,0.31611111111111106,,,,,,,,,,2920.5393966656025,2757.7458000014303,5329.24059999641,2156.4333333333334,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/EXP02/summary.json,101
Facet decomposition,FAC01,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,True,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.4888888888888889,,0.31611111111111106,,,,,,,,,,2995.108583334271,2837.389849999454,4775.493799999822,2156.4333333333334,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/FAC01/summary.json,102
Exact-overlap diversity filter,DIV01,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.5055555555555555,,0.3537037037037037,,,,,,,,,,3106.1219366674777,3010.5657000021893,5557.489000013447,2150.9333333333334,1.0,0.0,completed,Stage A development optimisation experiment.,reports/optimisation/DIV01/summary.json,110
MMR / diversity selection,MMR,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,cohere,rerank-v3.5,False,,,,,,,,,,,,,,,,,,,,,,evaluated_selected,True Maximal Marginal Relevance evaluated over saved V2_COHERE_ONLY development reranker outputs. Decision: MMR_LAMBDA_06; reason: MMR improved development retrieval quality while preserving coverage and contamination.. DIV01 remains an exact-overlap diversity filter and is not MMR.,reports/mmr_experiments/mmr_selection_decision.json; reports/mmr_experiments/mmr_leaderboard.json,111
MMR baseline: V2 Cohere selected context,MMR_BASELINE_V2_COHERE,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,cohere,rerank-v3.5,False,,0.5,0.4666666666666667,0.6,,0.41537037037037033,,,,,,,,,,11548.754009998811,12948.27224999608,19517.238900007214,2096.4,1.0,0.0,completed,True Maximal Marginal Relevance context selection using lambda * relevance - (1 - lambda) * max similarity to selected documents.,reports/mmr_experiments/mmr_leaderboard.json,112
True MMR lambda 0.6,MMR_LAMBDA_06,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,True,cohere,rerank-v3.5,False,,0.5666666666666667,0.5333333333333333,0.65,,0.4054629629629629,,,,,,,,,,13625.31814333294,15217.13925000222,22947.638900004677,2037.0333333333333,1.0,0.0,completed,True Maximal Marginal Relevance context selection using lambda * relevance - (1 - lambda) * max similarity to selected documents.,reports/mmr_experiments/mmr_leaderboard.json,113
True MMR lambda 0.7,MMR_LAMBDA_07,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,True,cohere,rerank-v3.5,False,,0.5333333333333333,0.5,0.6333333333333333,,0.41453703703703704,,,,,,,,,,13638.654916666079,15279.256749992783,22971.726200004923,2048.4,1.0,0.0,completed,True Maximal Marginal Relevance context selection using lambda * relevance - (1 - lambda) * max similarity to selected documents.,reports/mmr_experiments/mmr_leaderboard.json,114
True MMR lambda 0.8,MMR_LAMBDA_08,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,True,cohere,rerank-v3.5,False,,0.5,0.4666666666666667,0.6,,0.4163888888888889,,,,,,,,,,13763.834119998015,15228.44014999282,23028.548199989018,2047.3,1.0,0.0,completed,True Maximal Marginal Relevance context selection using lambda * relevance - (1 - lambda) * max similarity to selected documents.,reports/mmr_experiments/mmr_leaderboard.json,115
Adjacent expansion boundary,ADJ01,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3,0.3,0.45555555555555555,,0.3025925925925926,,,,,,,,,,3051.1948366644597,2952.9055500024697,5289.27819999808,2465.5666666666666,0.9,0.0,completed,Add previous/next same-page chunk when a boundary condition holds.,reports/structural_optimisation/ADJ01/summary.json,120
Adjacent expansion always,ADJ02,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.3,0.26666666666666666,0.41111111111111115,,0.2754761904761905,,,,,,,,,,3020.382476664963,2918.0584000059753,5515.597899997374,2480.3333333333335,0.8333333333333334,0.0,completed,Add one adjacent same-page chunk under a fixed context budget.,reports/structural_optimisation/ADJ02/summary.json,121
Adjacent expansion trend-only,ADJ03,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.36666666666666664,0.3333333333333333,0.46111111111111114,,0.3349206349206349,,,,,,,,,,3077.6495633341256,2982.258299998648,5436.603300011484,2034.7666666666667,0.9333333333333333,0.0,completed,Add adjacent chunks only for trend queries.,reports/structural_optimisation/ADJ03/summary.json,122
Child-parent retrieval same-page parent,CPARENT01,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.2,0.3055555555555555,,0.3537037037037037,,,,,,,,,,3125.5285433352888,3064.396499990835,5612.028500007,2189.6666666666665,1.0,0.0,completed,Child retrieval with same-page local parent windows.,reports/structural_optimisation/CPARENT01/summary.json,130
Child-parent retrieval adjacent-child parent,CPARENT02,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.06666666666666667,0.19444444444444445,,0.3537037037037037,,,,,,,,,,3157.709586667382,3120.6797500053653,5936.283900009585,1999.8333333333333,1.0,0.0,completed,Child retrieval with adjacent-child parent windows.,reports/structural_optimisation/CPARENT02/summary.json,131
Child-parent retrieval page-bounded parent,CPARENT03,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.13333333333333333,0.2611111111111111,,0.3537037037037037,,,,,,,,,,3216.23350000203,3167.879799999355,5592.988600008539,2191.133333333333,1.0,0.0,completed,Child retrieval with page-bounded parent windows.,reports/structural_optimisation/CPARENT03/summary.json,132
Sentence-window retrieval window 1,SW01,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.06666666666666667,0.10555555555555556,,0.3537037037037037,,,,,,,,,,3082.6476333342725,3036.2097999895923,5394.141199998558,265.6666666666667,1.0,0.0,completed,Sentence-window approximation with one sentence before and after.,reports/structural_optimisation/SW01/summary.json,140
Sentence-window retrieval window 2,SW02,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.1,0.18333333333333332,,0.3537037037037037,,,,,,,,,,3453.6665700036488,3514.750649999769,6035.349600002519,430.76666666666665,1.0,0.0,completed,Sentence-window approximation with two sentences before and after.,reports/structural_optimisation/SW02/summary.json,141
Chunk-window retrieval neighbour chunks,SW03,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.2,0.3055555555555555,,0.3537037037037037,,,,,,,,,,3393.771606668209,3280.235800004448,6078.118599994923,2474.9666666666667,1.0,0.0,completed,Small chunk-window approximation with one neighbouring chunk before and after.,reports/structural_optimisation/SW03/summary.json,142
Phase 7 selected final retrieval held-out diagnostic,,Three-report temporal retrieval,phase7_heldout_reused_for_old_final_only,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.38461538461538464,0.38461538461538464,0.5512820512820513,,0.258974358974359,,,,,,,,,,2623.7835846214484,2495.7724999985658,4354.438200010918,2134.846153846154,1.0,0.0,completed_historical_heldout,Historical Phase 7 held-out retrieval for old final config; not a fresh V2 benchmark.,reports/final_evaluation/heldout_retrieval_summary.json,150
V2 baseline final retrieval,V2_BASELINE_FINAL,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,local_cross_encoder,cross-encoder/ms-marco-MiniLM-L-6-v2,False,,0.4,0.36666666666666664,0.5055555555555555,,0.3537037037037037,,,,,,,,,,3168.6039699993366,3159.0397500112886,5449.888599992846,2150.9333333333334,1.0,0.0,completed,Controlled V2 development comparison. Poppler-enabled Unstructured arms are included when completed.,reports/v2_unstructured_cohere/v2_experiment_leaderboard.json,160
V2 Cohere retrieval,V2_COHERE_ONLY,Three-report temporal retrieval,dev,retrieval,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,cohere,rerank-v3.5,False,,0.5,0.4666666666666667,0.6,,0.41537037037037033,,,,,,,,,,11548.754009998811,12948.27224999608,19517.238900007214,2097.2,1.0,0.0,completed,Controlled V2 development comparison. Poppler-enabled Unstructured arms are included when completed.,reports/v2_unstructured_cohere/v2_experiment_leaderboard.json,170
V2_UNSTRUCTURED_COHERE,V2_UNSTRUCTURED_COHERE,Three-report temporal retrieval,dev,retrieval,,,False,False,False,False,False,False,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,not_run,RuntimeError: Unstructured extraction failed for rbi_mpr_2025_04: OCRUnavailable: OCR fallback was skipped because tesseract is not installed or not on PATH.,reports/v2_unstructured_cohere/v2_experiment_leaderboard.json,175
V2_UNSTRUCTURED_ONLY,V2_UNSTRUCTURED_ONLY,Three-report temporal retrieval,dev,retrieval,,,False,False,False,False,False,False,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,not_run,RuntimeError: Unstructured extraction failed for rbi_mpr_2025_04: OCRUnavailable: OCR fallback was skipped because tesseract is not installed or not on PATH.,reports/v2_unstructured_cohere/v2_experiment_leaderboard.json,175
V2 Cohere retrieval + generation,V2_GENERATION_DEV,Three-report temporal generation,dev,generation,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,cohere,rerank-v3.5,False,,,,,,,0.6343914458612334,0.8657197071510555,0.5294117647058824,0.4117647058823529,0.8823529411764706,1.0,0.8823529411764706,0.9166666666666666,0.47058823529411764,24020.510626470616,26759.0830500003,,,,,completed,Groq generation over saved V2_COHERE_ONLY retrieval outputs before sufficiency gate.,reports/v2_generation/dev_answer_eval_summary.json,180
V2 Cohere retrieval + sufficiency-gated generation,V2_SUFFICIENCY_GENERATION_DEV,Three-report temporal generation,dev,generation,PyPDFLoader,sentence-transformers/all-MiniLM-L6-v2,True,True,True,True,False,False,False,False,cohere,rerank-v3.5,True,,,,,,,0.7954456988291574,0.9761655452382324,0.5294117647058824,0.4117647058823529,0.8823529411764706,1.0,0.8823529411764706,0.2777777777777778,1.0,25222.447752941127,25694.342349999715,,,,,completed,Development-only generation with deterministic evidence sufficiency gate.,reports/v2_sufficiency/dev_sufficiency_eval_summary.json,190
