abstention_correctness,category_value,citation_completeness,citation_correctness,comparative_correctness,contextual_recall,contextual_relevancy,dimension,factual_correctness,faithfulness_to_context,row_count,temporal_attribution_correctness,variant_id
1.0,single_report,1.0,1.0,,0.75,0.75,query_type,0.8076978576978577,0.9483388311464936,12,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,pairwise_comparison,1.0,1.0,0.25,0.25,0.5,query_type,0.7778752436647173,0.9903878449527959,12,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,trend_all_reports,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,query_type,0.7666666666666666,0.9874847374847375,6,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,unsupported_period,,0.0,,0.0,0.0,query_type,,1.0,4,0.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,narrative,1.0,0.8421052631578947,0.4444444444444444,0.47368421052631576,0.543859649122807,source_structure,0.7600231152862732,0.9762131266551177,19,0.8421052631578947,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,mixed,1.0,0.8333333333333334,0.0,0.3333333333333333,0.4166666666666667,source_structure,0.8285714285714285,0.9888888888888889,6,0.8333333333333334,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,table,1.0,1.0,0.16666666666666666,0.375,0.6458333333333334,source_structure,0.8796296296296297,0.963530724789916,8,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,chart_or_figure,,1.0,,0.0,0.0,source_structure,,1.0,1,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,True,1.0,0.96,0.2,0.4,0.54,requires_numeric_evidence,0.7717027417027417,0.975328431372549,25,0.96,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,False,1.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5,requires_numeric_evidence,0.854803091645197,0.9784908615317972,9,0.6666666666666666,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,sufficient,1.0,1.0,1.0,1.0,1.0,sufficiency_status,0.7954456988291574,0.9421163241499928,14,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,partially_sufficient,,1.0,0.0,0.0,0.25,sufficiency_status,,1.0,16,1.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,insufficient,,0.0,,0.0,0.0,sufficiency_status,,1.0,4,0.0,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,single_report,1.0,1.0,,0.8333333333333334,0.8333333333333334,query_type,0.8178371628371629,0.9438378372005282,12,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,pairwise_comparison,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5416666666666666,query_type,0.8167397660818714,0.9891249092229484,12,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,trend_all_reports,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,query_type,0.8,0.9817572598659717,6,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,unsupported_period,,0.0,,0.0,0.0,query_type,,1.0,4,0.0,GEN_MMR06_SUFFICIENCY_V1
1.0,narrative,1.0,0.8421052631578947,0.5555555555555556,0.5789473684210527,0.6228070175438597,source_structure,0.7953908133333971,0.9701144709289526,19,0.8421052631578947,GEN_MMR06_SUFFICIENCY_V1
1.0,mixed,1.0,0.8333333333333334,0.0,0.3333333333333333,0.4166666666666667,source_structure,0.8285714285714285,0.9888888888888889,6,0.8333333333333334,GEN_MMR06_SUFFICIENCY_V1
1.0,table,1.0,1.0,0.16666666666666666,0.375,0.6458333333333334,source_structure,0.8796296296296297,0.9650735294117647,8,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,chart_or_figure,,1.0,,0.0,0.0,source_structure,,1.0,1,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,True,1.0,0.96,0.2,0.4,0.54,requires_numeric_evidence,0.7783694083694084,0.9745261437908497,25,0.96,GEN_MMR06_SUFFICIENCY_V1
1.0,False,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,requires_numeric_evidence,0.8769394348341716,0.9692158801673675,9,0.6666666666666666,GEN_MMR06_SUFFICIENCY_V1
1.0,sufficient,1.0,1.0,1.0,1.0,1.0,sufficiency_status,0.8153331682936946,0.9428810322673469,16,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,partially_sufficient,,1.0,0.0,0.0,0.25,sufficiency_status,,1.0,14,1.0,GEN_MMR06_SUFFICIENCY_V1
1.0,insufficient,,0.0,,0.0,0.0,sufficiency_status,,1.0,4,0.0,GEN_MMR06_SUFFICIENCY_V1
1.0,single_report,1.0,1.0,,0.8333333333333334,0.8333333333333334,query_type,0.8178371628371629,0.9438378372005282,12,1.0,GEN_MMR07_SUFFICIENCY_V1
1.0,pairwise_comparison,1.0,1.0,0.25,0.25,0.5,query_type,0.7778752436647173,0.9906057098765432,12,1.0,GEN_MMR07_SUFFICIENCY_V1
1.0,trend_all_reports,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,query_type,0.7749999999999999,0.9782913165266107,6,1.0,GEN_MMR07_SUFFICIENCY_V1
1.0,unsupported_period,,0.0,,0.0,0.0,query_type,,1.0,4,0.0,GEN_MMR07_SUFFICIENCY_V1
1.0,unknown,1.0,0.8823529411764706,0.2777777777777778,0.4411764705882353,0.5588235294117647,source_structure,0.804133157291052,0.9730314842377801,34,0.8823529411764706,GEN_MMR07_SUFFICIENCY_V1
1.0,False,1.0,0.8823529411764706,0.2777777777777778,0.4411764705882353,0.5588235294117647,requires_numeric_evidence,0.804133157291052,0.9730314842377801,34,0.8823529411764706,GEN_MMR07_SUFFICIENCY_V1
1.0,sufficient,1.0,1.0,1.0,1.0,1.0,sufficiency_status,0.804133157291052,0.9388713642723014,15,1.0,GEN_MMR07_SUFFICIENCY_V1
1.0,partially_sufficient,,1.0,0.0,0.0,0.26666666666666666,sufficiency_status,,1.0,15,1.0,GEN_MMR07_SUFFICIENCY_V1
1.0,insufficient,,0.0,,0.0,0.0,sufficiency_status,,1.0,4,0.0,GEN_MMR07_SUFFICIENCY_V1
1.0,single_report,1.0,1.0,,0.8333333333333334,0.8333333333333334,query_type,0.8178371628371629,0.9438378372005282,12,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,pairwise_comparison,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5416666666666666,query_type,0.8167397660818714,0.9891249092229484,12,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,trend_all_reports,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,query_type,0.8,0.9817572598659717,6,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,unsupported_period,,0.0,,0.0,0.0,query_type,,1.0,4,0.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,narrative,1.0,0.8421052631578947,0.5555555555555556,0.5789473684210527,0.6228070175438597,source_structure,0.7953908133333971,0.9701144709289526,19,0.8421052631578947,GEN_MMR06_CITATION_REPAIR_V1
1.0,mixed,1.0,0.8333333333333334,0.0,0.3333333333333333,0.4166666666666667,source_structure,0.8285714285714285,0.9888888888888889,6,0.8333333333333334,GEN_MMR06_CITATION_REPAIR_V1
1.0,table,1.0,1.0,0.16666666666666666,0.375,0.6458333333333334,source_structure,0.8796296296296297,0.9650735294117647,8,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,chart_or_figure,,1.0,,0.0,0.0,source_structure,,1.0,1,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,True,1.0,0.96,0.2,0.4,0.54,requires_numeric_evidence,0.7783694083694084,0.9745261437908497,25,0.96,GEN_MMR06_CITATION_REPAIR_V1
1.0,False,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,requires_numeric_evidence,0.8769394348341716,0.9692158801673675,9,0.6666666666666666,GEN_MMR06_CITATION_REPAIR_V1
1.0,sufficient,1.0,1.0,1.0,1.0,1.0,sufficiency_status,0.8153331682936946,0.9428810322673469,16,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,partially_sufficient,,1.0,0.0,0.0,0.25,sufficiency_status,,1.0,14,1.0,GEN_MMR06_CITATION_REPAIR_V1
1.0,insufficient,,0.0,,0.0,0.0,sufficiency_status,,1.0,4,0.0,GEN_MMR06_CITATION_REPAIR_V1
