question_id,query_type,required_report_ids,original_query,normalised_query,expanded_queries,facet_queries,per_report,report_coverage,all_reports_hit,macro_mrr,evidence_recall,complete_evidence_recall,contamination,selected_character_count,estimated_token_count
oct_dev_001,single_report,"[""rbi_mpr_2025_10""]",What happened to food inflation in June and July 2025 according to the October 2025 MPR?,What happened to food inflation in June and July 2025 according to the October 2025 MPR?,[],[],"{""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 1.0, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p010_c000"", ""rbi_mpr_2025_10_p102_c000"", ""rbi_mpr_2025_10_p011_c002"", ""rbi_mpr_2025_10_p035_c003"", ""rbi_mpr_2025_10_p032_c000"", ""rbi_mpr_2025_10_p025_c001""], ""selected_pages"": [10, 102, 11, 35, 32, 25]}}",1.0,True,1.0,1.0,True,0,5890,1472
oct_dev_002,single_report,"[""rbi_mpr_2025_10""]",To what level had the repo rate been brought by October 2025?,To what level had the repo rate been brought by October 2025?,[],[],"{""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 0.25, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p072_c000"", ""rbi_mpr_2025_10_p066_c000"", ""rbi_mpr_2025_10_p066_c001"", ""rbi_mpr_2025_10_p010_c001"", ""rbi_mpr_2025_10_p074_c000"", ""rbi_mpr_2025_10_p076_c000""], ""selected_pages"": [72, 66, 66, 10, 74, 76]}}",1.0,True,0.25,1.0,True,0,5850,1462
oct_dev_003,single_report,"[""rbi_mpr_2025_10""]",Where did core inflation broadly remain in the October 2025 report?,Where did core inflation broadly remain in the October 2025 report?,[],[],"{""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 0.3333333333333333, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p102_c000"", ""rbi_mpr_2025_10_p034_c000"", ""rbi_mpr_2025_10_p010_c000"", ""rbi_mpr_2025_10_p032_c000"", ""rbi_mpr_2025_10_p023_c003"", ""rbi_mpr_2025_10_p024_c002""], ""selected_pages"": [102, 34, 10, 32, 23, 24]}}",1.0,True,0.3333333333333333,1.0,True,0,5705,1426
oct_dev_004,single_report,"[""rbi_mpr_2025_10""]",What crude-oil baseline assumption was used for H2:2025-26 in October 2025?,What crude-oil baseline assumption was used for H2:2025-26 in October 2025?,[],[],"{""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 1.0, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p012_c000"", ""rbi_mpr_2025_10_p012_c001"", ""rbi_mpr_2025_10_p013_c000"", ""rbi_mpr_2025_10_p012_c002"", ""rbi_mpr_2025_10_p066_c000"", ""rbi_mpr_2025_10_p012_c003""], ""selected_pages"": [12, 12, 13, 12, 66, 12]}}",1.0,True,1.0,1.0,True,0,5839,1459
oct_dev_005,single_report,"[""rbi_mpr_2025_10""]",What global-growth assumptions for 2025 and 2026 were used in October 2025?,What global-growth assumptions for 2025 and 2026 were used in October 2025?,[],[],"{""rbi_mpr_2025_10"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": false, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p098_c000"", ""rbi_mpr_2025_10_p013_c004"", ""rbi_mpr_2025_10_p013_c003"", ""rbi_mpr_2025_10_p009_c005"", ""rbi_mpr_2025_10_p038_c000"", ""rbi_mpr_2025_10_p099_c000""], ""selected_pages"": [98, 13, 13, 9, 38, 99]}}",1.0,False,0.0,0.0,False,0,5316,1329
oct_dev_006,single_report,"[""rbi_mpr_2025_10""]","According to the October 2025 MPR, how much had the Centre raised through gross market borrowings by late September 2025?","According to the October 2025 MPR, how much had the Centre raised through gross market borrowings by late September 2025?",[],[],"{""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 1.0, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p052_c000"", ""rbi_mpr_2025_10_p052_c001"", ""rbi_mpr_2025_10_p052_c004"", ""rbi_mpr_2025_10_p080_c000"", ""rbi_mpr_2025_10_p072_c000"", ""rbi_mpr_2025_10_p009_c005""], ""selected_pages"": [52, 52, 52, 80, 72, 9]}}",1.0,True,1.0,1.0,True,0,4882,1220
apr26_dev_001,single_report,"[""rbi_mpr_2026_04""]",What did April 2026 say about the food group's movement from deflation?,What did April 2026 say about the food group's movement from deflation?,[],[],"{""rbi_mpr_2026_04"": {""hit"": true, ""rr"": 0.5, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p083_c000"", ""rbi_mpr_2026_04_p005_c003"", ""rbi_mpr_2026_04_p085_c001"", ""rbi_mpr_2026_04_p115_c001"", ""rbi_mpr_2026_04_p082_c001"", ""rbi_mpr_2026_04_p094_c000""], ""selected_pages"": [83, 5, 85, 115, 82, 94]}}",1.0,True,0.5,1.0,True,0,5757,1439
apr26_dev_002,single_report,"[""rbi_mpr_2026_04""]",What repo-rate action in December was reported in April 2026?,What repo-rate action in December was reported in April 2026?,[],[],"{""rbi_mpr_2026_04"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p034_c000"", ""rbi_mpr_2026_04_p020_c000"", ""rbi_mpr_2026_04_p088_c000"", ""rbi_mpr_2026_04_p086_c000"", ""rbi_mpr_2026_04_p102_c002"", ""rbi_mpr_2026_04_p101_c005""], ""selected_pages"": [34, 20, 88, 86, 102, 101]}}",1.0,False,0.0,0.0,False,0,5383,1345
apr26_dev_003,single_report,"[""rbi_mpr_2026_04""]",How did April 2026 characterise core inflation apart from precious metals?,How did April 2026 characterise core inflation apart from precious metals?,[],[],"{""rbi_mpr_2026_04"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p092_c000"", ""rbi_mpr_2026_04_p091_c000"", ""rbi_mpr_2026_04_p094_c000"", ""rbi_mpr_2026_04_p094_c004"", ""rbi_mpr_2026_04_p103_c001"", ""rbi_mpr_2026_04_p101_c002""], ""selected_pages"": [92, 91, 94, 94, 103, 101]}}",1.0,False,0.0,0.0,False,0,5543,1385
apr26_dev_004,single_report,"[""rbi_mpr_2026_04""]",What crude-oil risk arising from the West Asia conflict was highlighted in April 2026?,What crude-oil risk arising from the West Asia conflict was highlighted in April 2026?,[],[],"{""rbi_mpr_2026_04"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p113_c001"", ""rbi_mpr_2026_04_p040_c000"", ""rbi_mpr_2026_04_p099_c002"", ""rbi_mpr_2026_04_p110_c000"", ""rbi_mpr_2026_04_p013_c001"", ""rbi_mpr_2026_04_p116_c000""], ""selected_pages"": [113, 40, 99, 110, 13, 116]}}",1.0,False,0.0,0.0,False,0,5620,1405
apr26_dev_005,single_report,"[""rbi_mpr_2026_04""]",How did April 2026 characterise global growth relative to its historical average?,How did April 2026 characterise global growth relative to its historical average?,[],[],"{""rbi_mpr_2026_04"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p013_c001"", ""rbi_mpr_2026_04_p014_c000"", ""rbi_mpr_2026_04_p016_c000"", ""rbi_mpr_2026_04_p025_c001"", ""rbi_mpr_2026_04_p056_c000"", ""rbi_mpr_2026_04_p108_c000""], ""selected_pages"": [13, 14, 16, 25, 56, 108]}}",1.0,False,0.0,0.0,False,0,5631,1407
apr26_dev_006,single_report,"[""rbi_mpr_2026_04""]",What were the Centre's gross market borrowings in 2025-26 according to April 2026?,What were the Centre's gross market borrowings in 2025-26 according to April 2026?,[],[],"{""rbi_mpr_2026_04"": {""hit"": true, ""rr"": 0.3333333333333333, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p065_c000"", ""rbi_mpr_2026_04_p066_c002"", ""rbi_mpr_2026_04_p064_c002"", ""rbi_mpr_2026_04_p069_c000"", ""rbi_mpr_2026_04_p034_c000"", ""rbi_mpr_2026_04_p064_c001""], ""selected_pages"": [65, 66, 64, 69, 34, 64]}}",1.0,True,0.3333333333333333,1.0,True,0,5843,1460
cmp_dev_001,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",Compare food-inflation developments reported in April and October 2025.,Compare food-inflation developments reported in April and October 2025.,[],[],"{""rbi_mpr_2025_04"": {""hit"": true, ""rr"": 0.3333333333333333, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_04_p032_c000"", ""rbi_mpr_2025_04_p042_c000"", ""rbi_mpr_2025_04_p012_c000"", ""rbi_mpr_2025_04_p038_c000""], ""selected_pages"": [32, 42, 12, 38]}, ""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 0.25, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p032_c000"", ""rbi_mpr_2025_10_p036_c003"", ""rbi_mpr_2025_10_p025_c001"", ""rbi_mpr_2025_10_p010_c000""], ""selected_pages"": [32, 36, 25, 10]}}",1.0,True,0.29166666666666663,1.0,True,0,7854,1963
cmp_dev_002,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",Compare the policy-rate levels described in April and October 2025.,Compare the policy-rate levels described in April and October 2025.,[],[],"{""rbi_mpr_2025_04"": {""hit"": true, ""rr"": 1.0, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_04_p012_c000"", ""rbi_mpr_2025_04_p052_c000"", ""rbi_mpr_2025_04_p107_c001"", ""rbi_mpr_2025_04_p108_c000""], ""selected_pages"": [12, 52, 107, 108]}, ""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 0.5, ""evidence"": [false], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p066_c000"", ""rbi_mpr_2025_10_p010_c000"", ""rbi_mpr_2025_10_p032_c000"", ""rbi_mpr_2025_10_p040_c000""], ""selected_pages"": [66, 10, 32, 40]}}",1.0,True,0.75,0.5,False,0,7774,1943
cmp_dev_003,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",Compare the crude-oil baseline assumptions in April and October 2025.,Compare the crude-oil baseline assumptions in April and October 2025.,[],[],"{""rbi_mpr_2025_04"": {""hit"": true, ""rr"": 1.0, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_04_p014_c001"", ""rbi_mpr_2025_04_p022_c000"", ""rbi_mpr_2025_04_p014_c000"", ""rbi_mpr_2025_04_p015_c000""], ""selected_pages"": [14, 22, 14, 15]}, ""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 1.0, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p012_c000"", ""rbi_mpr_2025_10_p012_c001"", ""rbi_mpr_2025_10_p013_c000"", ""rbi_mpr_2025_10_p021_c003""], ""selected_pages"": [12, 12, 13, 21]}}",1.0,True,1.0,1.0,True,0,7822,1955
cmp_dev_004,pairwise_comparison,"[""rbi_mpr_2025_04"", ""rbi_mpr_2025_10""]",Compare global-growth assumptions in April and October 2025.,Compare global-growth assumptions in April and October 2025.,[],[],"{""rbi_mpr_2025_04"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": false, ""bm25"": true, ""union"": true, ""fusion"": false, ""selected_ids"": [""rbi_mpr_2025_04_p022_c000"", ""rbi_mpr_2025_04_p015_c000"", ""rbi_mpr_2025_04_p015_c001"", ""rbi_mpr_2025_04_p099_c002""], ""selected_pages"": [22, 15, 15, 99]}, ""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 0.25, ""evidence"": [true], ""dense"": false, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p009_c001"", ""rbi_mpr_2025_10_p099_c000"", ""rbi_mpr_2025_10_p097_c004"", ""rbi_mpr_2025_10_p012_c001""], ""selected_pages"": [9, 99, 97, 12]}}",1.0,False,0.125,0.5,False,0,7857,1964
cmp_dev_005,pairwise_comparison,"[""rbi_mpr_2025_10"", ""rbi_mpr_2026_04""]",Compare food-inflation language in October 2025 and April 2026.,Compare food-inflation language in October 2025 and April 2026.,[],[],"{""rbi_mpr_2025_10"": {""hit"": true, ""rr"": 0.3333333333333333, ""evidence"": [true], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2025_10_p032_c000"", ""rbi_mpr_2025_10_p036_c003"", ""rbi_mpr_2025_10_p010_c000"", ""rbi_mpr_2025_10_p025_c001""], ""selected_pages"": [32, 36, 10, 25]}, ""rbi_mpr_2026_04"": {""hit"": false, ""rr"": 0, ""evidence"": [false], ""dense"": true, ""bm25"": true, ""union"": true, ""fusion"": true, ""selected_ids"": [""rbi_mpr_2026_04_p082_c000"", ""rbi_mpr_2026_04_p083_c000"", ""rbi_mpr_2026_04_p087_c000"", ""rbi_mpr_2026_04_p094_c000""], ""selected_pages"": [82, 83, 87, 94]}}",1.0,False,0.16666666666666666,0.5,False,0,7793,1948
