classification,estimated_input_tokens,evidence_rank_after_reranking,evidence_rank_before_reranking,experiment_id,final_selected,input_text_length,question_id,rank_change,report_id,reranker_score,truncation_risk
unchanged,,1,1,AQ01,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
promoted,,4,6,AQ01,True,,oct_dev_002,2,rbi_mpr_2025_10,,False
promoted,,3,10,AQ01,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,9,14,AQ01,True,,oct_dev_005,5,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
demoted,,2,1,AQ01,True,,apr26_dev_001,-1,rbi_mpr_2026_04,,False
demoted,,17,7,AQ01,True,,apr26_dev_002,-10,rbi_mpr_2026_04,,False
demoted,,12,4,AQ01,True,,apr26_dev_003,-8,rbi_mpr_2026_04,,False
promoted,,12,16,AQ01,True,,apr26_dev_004,4,rbi_mpr_2026_04,,False
promoted,,10,14,AQ01,True,,apr26_dev_005,4,rbi_mpr_2026_04,,False
demoted,,3,2,AQ01,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,3,25,AQ01,True,,cmp_dev_001,22,rbi_mpr_2025_04,,False
demoted,,4,1,AQ01,True,,cmp_dev_001,-3,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,cmp_dev_002,0,rbi_mpr_2025_04,,False
demoted,,2,1,AQ01,True,,cmp_dev_002,-1,rbi_mpr_2025_10,,False
unchanged,,1,1,AQ01,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,AQ01,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,AQ01,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,3,1,AQ01,True,,cmp_dev_005,-2,rbi_mpr_2025_10,,False
demoted,,24,2,AQ01,True,,cmp_dev_005,-22,rbi_mpr_2026_04,,False
unchanged,,2,2,AQ01,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,14,20,AQ01,True,,cmp_dev_007,6,rbi_mpr_2025_10,,False
demoted,,20,7,AQ01,True,,cmp_dev_007,-13,rbi_mpr_2026_04,,False
promoted,,1,11,AQ01,True,,cmp_dev_008,10,rbi_mpr_2025_10,,False
promoted,,1,25,AQ01,True,,cmp_dev_008,24,rbi_mpr_2026_04,,False
promoted,,1,4,AQ01,True,,cmp_dev_011,3,rbi_mpr_2025_04,,False
demoted,,23,11,AQ01,True,,cmp_dev_011,-12,rbi_mpr_2026_04,,False
demoted,,11,5,AQ01,True,,cmp_dev_012,-6,rbi_mpr_2025_04,,False
promoted,,1,9,AQ01,True,,cmp_dev_012,8,rbi_mpr_2026_04,,False
promoted,,4,21,AQ01,True,,trend_dev_001,17,rbi_mpr_2026_04,,False
demoted,,11,5,AQ01,True,,trend_dev_002,-6,rbi_mpr_2025_10,,False
promoted,,1,9,AQ01,True,,trend_dev_003,8,rbi_mpr_2025_04,,False
promoted,,2,12,AQ01,True,,trend_dev_003,10,rbi_mpr_2025_10,,False
demoted,,7,6,AQ01,True,,trend_dev_003,-1,rbi_mpr_2026_04,,False
demoted,,3,1,AQ01,True,,trend_dev_005,-2,rbi_mpr_2025_04,,False
promoted,,1,11,AQ01,True,,trend_dev_005,10,rbi_mpr_2025_10,,False
promoted,,2,15,AQ01,True,,trend_dev_005,13,rbi_mpr_2026_04,,False
unchanged,,1,1,AQ01,True,,trend_dev_006,0,rbi_mpr_2025_04,,False
demoted,,6,2,AQ01,True,,trend_dev_006,-4,rbi_mpr_2025_10,,False
demoted,,4,1,AQ01,True,,trend_dev_006,-3,rbi_mpr_2026_04,,False
unchanged,,1,1,BM02,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
promoted,,4,6,BM02,True,,oct_dev_002,2,rbi_mpr_2025_10,,False
promoted,,3,10,BM02,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,9,14,BM02,True,,oct_dev_005,5,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
demoted,,2,1,BM02,True,,apr26_dev_001,-1,rbi_mpr_2026_04,,False
demoted,,17,7,BM02,True,,apr26_dev_002,-10,rbi_mpr_2026_04,,False
demoted,,12,4,BM02,True,,apr26_dev_003,-8,rbi_mpr_2026_04,,False
promoted,,12,16,BM02,True,,apr26_dev_004,4,rbi_mpr_2026_04,,False
promoted,,10,14,BM02,True,,apr26_dev_005,4,rbi_mpr_2026_04,,False
demoted,,3,2,BM02,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,3,25,BM02,True,,cmp_dev_001,22,rbi_mpr_2025_04,,False
demoted,,4,1,BM02,True,,cmp_dev_001,-3,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,cmp_dev_002,0,rbi_mpr_2025_04,,False
demoted,,2,1,BM02,True,,cmp_dev_002,-1,rbi_mpr_2025_10,,False
unchanged,,1,1,BM02,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,BM02,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,BM02,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,3,1,BM02,True,,cmp_dev_005,-2,rbi_mpr_2025_10,,False
demoted,,24,2,BM02,True,,cmp_dev_005,-22,rbi_mpr_2026_04,,False
unchanged,,2,2,BM02,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,14,20,BM02,True,,cmp_dev_007,6,rbi_mpr_2025_10,,False
demoted,,20,7,BM02,True,,cmp_dev_007,-13,rbi_mpr_2026_04,,False
promoted,,1,11,BM02,True,,cmp_dev_008,10,rbi_mpr_2025_10,,False
promoted,,1,25,BM02,True,,cmp_dev_008,24,rbi_mpr_2026_04,,False
promoted,,1,4,BM02,True,,cmp_dev_011,3,rbi_mpr_2025_04,,False
demoted,,23,11,BM02,True,,cmp_dev_011,-12,rbi_mpr_2026_04,,False
demoted,,11,5,BM02,True,,cmp_dev_012,-6,rbi_mpr_2025_04,,False
promoted,,1,9,BM02,True,,cmp_dev_012,8,rbi_mpr_2026_04,,False
promoted,,4,21,BM02,True,,trend_dev_001,17,rbi_mpr_2026_04,,False
demoted,,11,5,BM02,True,,trend_dev_002,-6,rbi_mpr_2025_10,,False
promoted,,1,9,BM02,True,,trend_dev_003,8,rbi_mpr_2025_04,,False
promoted,,2,12,BM02,True,,trend_dev_003,10,rbi_mpr_2025_10,,False
demoted,,7,6,BM02,True,,trend_dev_003,-1,rbi_mpr_2026_04,,False
demoted,,3,1,BM02,True,,trend_dev_005,-2,rbi_mpr_2025_04,,False
promoted,,1,11,BM02,True,,trend_dev_005,10,rbi_mpr_2025_10,,False
promoted,,2,15,BM02,True,,trend_dev_005,13,rbi_mpr_2026_04,,False
unchanged,,1,1,BM02,True,,trend_dev_006,0,rbi_mpr_2025_04,,False
demoted,,6,2,BM02,True,,trend_dev_006,-4,rbi_mpr_2025_10,,False
demoted,,4,1,BM02,True,,trend_dev_006,-3,rbi_mpr_2026_04,,False
unchanged,,1,1,COMBINED_01,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
unchanged,,4,4,COMBINED_01,True,,oct_dev_002,0,rbi_mpr_2025_10,,False
promoted,,3,10,COMBINED_01,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_01,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,8,16,COMBINED_01,True,,oct_dev_005,8,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_01,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
promoted,,2,3,COMBINED_01,True,,apr26_dev_001,1,rbi_mpr_2026_04,,False
demoted,,17,11,COMBINED_01,True,,apr26_dev_002,-6,rbi_mpr_2026_04,,False
demoted,,11,7,COMBINED_01,True,,apr26_dev_003,-4,rbi_mpr_2026_04,,False
promoted,,13,18,COMBINED_01,True,,apr26_dev_004,5,rbi_mpr_2026_04,,False
promoted,,10,22,COMBINED_01,True,,apr26_dev_005,12,rbi_mpr_2026_04,,False
demoted,,3,2,COMBINED_01,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,4,24,COMBINED_01,True,,cmp_dev_001,20,rbi_mpr_2025_04,,False
demoted,,3,1,COMBINED_01,True,,cmp_dev_001,-2,rbi_mpr_2025_10,,False
demoted,,2,1,COMBINED_01,True,,cmp_dev_002,-1,rbi_mpr_2025_04,,False
demoted,,3,1,COMBINED_01,True,,cmp_dev_002,-2,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_01,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,COMBINED_01,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,COMBINED_01,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,2,1,COMBINED_01,True,,cmp_dev_005,-1,rbi_mpr_2025_10,,False
demoted,,21,2,COMBINED_01,True,,cmp_dev_005,-19,rbi_mpr_2026_04,,False
unchanged,,2,2,COMBINED_01,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,13,21,COMBINED_01,True,,cmp_dev_007,8,rbi_mpr_2025_10,,False
demoted,,19,7,COMBINED_01,True,,cmp_dev_007,-12,rbi_mpr_2026_04,,False
promoted,,1,12,COMBINED_01,True,,cmp_dev_008,11,rbi_mpr_2025_10,,False
promoted,,7,23,COMBINED_01,True,,cmp_dev_009,16,rbi_mpr_2026_04,,False
promoted,,1,5,COMBINED_01,True,,cmp_dev_011,4,rbi_mpr_2025_04,,False
demoted,,23,10,COMBINED_01,True,,cmp_dev_011,-13,rbi_mpr_2026_04,,False
demoted,,10,5,COMBINED_01,True,,cmp_dev_012,-5,rbi_mpr_2025_04,,False
promoted,,2,11,COMBINED_01,True,,cmp_dev_012,9,rbi_mpr_2026_04,,False
promoted,,13,27,COMBINED_01,True,,trend_dev_001,14,rbi_mpr_2025_10,,False
demoted,,11,5,COMBINED_01,True,,trend_dev_002,-6,rbi_mpr_2025_10,,False
promoted,,1,8,COMBINED_01,True,,trend_dev_003,7,rbi_mpr_2025_04,,False
promoted,,2,10,COMBINED_01,True,,trend_dev_003,8,rbi_mpr_2025_10,,False
promoted,,6,7,COMBINED_01,True,,trend_dev_003,1,rbi_mpr_2026_04,,False
demoted,,2,1,COMBINED_01,True,,trend_dev_005,-1,rbi_mpr_2025_04,,False
promoted,,1,9,COMBINED_01,True,,trend_dev_005,8,rbi_mpr_2025_10,,False
promoted,,2,9,COMBINED_01,True,,trend_dev_005,7,rbi_mpr_2026_04,,False
demoted,,2,1,COMBINED_01,True,,trend_dev_006,-1,rbi_mpr_2025_04,,False
demoted,,5,2,COMBINED_01,True,,trend_dev_006,-3,rbi_mpr_2025_10,,False
promoted,,4,8,COMBINED_01,True,,trend_dev_006,4,rbi_mpr_2026_04,,False
unchanged,,1,1,COMBINED_02,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
unchanged,,4,4,COMBINED_02,True,,oct_dev_002,0,rbi_mpr_2025_10,,False
promoted,,3,10,COMBINED_02,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_02,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,8,16,COMBINED_02,True,,oct_dev_005,8,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_02,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
promoted,,2,3,COMBINED_02,True,,apr26_dev_001,1,rbi_mpr_2026_04,,False
demoted,,17,11,COMBINED_02,True,,apr26_dev_002,-6,rbi_mpr_2026_04,,False
demoted,,11,7,COMBINED_02,True,,apr26_dev_003,-4,rbi_mpr_2026_04,,False
promoted,,13,18,COMBINED_02,True,,apr26_dev_004,5,rbi_mpr_2026_04,,False
promoted,,10,22,COMBINED_02,True,,apr26_dev_005,12,rbi_mpr_2026_04,,False
demoted,,3,2,COMBINED_02,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,4,24,COMBINED_02,True,,cmp_dev_001,20,rbi_mpr_2025_04,,False
demoted,,3,1,COMBINED_02,True,,cmp_dev_001,-2,rbi_mpr_2025_10,,False
demoted,,2,1,COMBINED_02,True,,cmp_dev_002,-1,rbi_mpr_2025_04,,False
demoted,,3,1,COMBINED_02,True,,cmp_dev_002,-2,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_02,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,COMBINED_02,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,COMBINED_02,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,2,1,COMBINED_02,True,,cmp_dev_005,-1,rbi_mpr_2025_10,,False
demoted,,21,2,COMBINED_02,True,,cmp_dev_005,-19,rbi_mpr_2026_04,,False
unchanged,,2,2,COMBINED_02,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,13,21,COMBINED_02,True,,cmp_dev_007,8,rbi_mpr_2025_10,,False
demoted,,19,7,COMBINED_02,True,,cmp_dev_007,-12,rbi_mpr_2026_04,,False
promoted,,1,12,COMBINED_02,True,,cmp_dev_008,11,rbi_mpr_2025_10,,False
promoted,,7,23,COMBINED_02,True,,cmp_dev_009,16,rbi_mpr_2026_04,,False
promoted,,1,5,COMBINED_02,True,,cmp_dev_011,4,rbi_mpr_2025_04,,False
demoted,,23,10,COMBINED_02,True,,cmp_dev_011,-13,rbi_mpr_2026_04,,False
demoted,,10,5,COMBINED_02,True,,cmp_dev_012,-5,rbi_mpr_2025_04,,False
promoted,,2,11,COMBINED_02,True,,cmp_dev_012,9,rbi_mpr_2026_04,,False
promoted,,13,27,COMBINED_02,True,,trend_dev_001,14,rbi_mpr_2025_10,,False
demoted,,11,5,COMBINED_02,True,,trend_dev_002,-6,rbi_mpr_2025_10,,False
promoted,,1,8,COMBINED_02,True,,trend_dev_003,7,rbi_mpr_2025_04,,False
promoted,,2,10,COMBINED_02,True,,trend_dev_003,8,rbi_mpr_2025_10,,False
promoted,,6,7,COMBINED_02,True,,trend_dev_003,1,rbi_mpr_2026_04,,False
demoted,,2,1,COMBINED_02,True,,trend_dev_005,-1,rbi_mpr_2025_04,,False
promoted,,1,9,COMBINED_02,True,,trend_dev_005,8,rbi_mpr_2025_10,,False
promoted,,2,9,COMBINED_02,True,,trend_dev_005,7,rbi_mpr_2026_04,,False
demoted,,2,1,COMBINED_02,True,,trend_dev_006,-1,rbi_mpr_2025_04,,False
demoted,,5,2,COMBINED_02,True,,trend_dev_006,-3,rbi_mpr_2025_10,,False
promoted,,4,8,COMBINED_02,True,,trend_dev_006,4,rbi_mpr_2026_04,,False
unchanged,,1,1,COMBINED_03,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
unchanged,,4,4,COMBINED_03,True,,oct_dev_002,0,rbi_mpr_2025_10,,False
promoted,,3,10,COMBINED_03,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_03,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,8,16,COMBINED_03,True,,oct_dev_005,8,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_03,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
promoted,,2,3,COMBINED_03,True,,apr26_dev_001,1,rbi_mpr_2026_04,,False
demoted,,17,11,COMBINED_03,True,,apr26_dev_002,-6,rbi_mpr_2026_04,,False
demoted,,11,7,COMBINED_03,True,,apr26_dev_003,-4,rbi_mpr_2026_04,,False
promoted,,13,18,COMBINED_03,True,,apr26_dev_004,5,rbi_mpr_2026_04,,False
promoted,,10,22,COMBINED_03,True,,apr26_dev_005,12,rbi_mpr_2026_04,,False
demoted,,3,2,COMBINED_03,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,4,24,COMBINED_03,True,,cmp_dev_001,20,rbi_mpr_2025_04,,False
demoted,,3,1,COMBINED_03,True,,cmp_dev_001,-2,rbi_mpr_2025_10,,False
demoted,,2,1,COMBINED_03,True,,cmp_dev_002,-1,rbi_mpr_2025_04,,False
demoted,,3,1,COMBINED_03,True,,cmp_dev_002,-2,rbi_mpr_2025_10,,False
unchanged,,1,1,COMBINED_03,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,COMBINED_03,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
promoted,,4,25,COMBINED_03,True,,cmp_dev_004,21,rbi_mpr_2025_10,,False
demoted,,2,1,COMBINED_03,True,,cmp_dev_005,-1,rbi_mpr_2025_10,,False
demoted,,21,2,COMBINED_03,True,,cmp_dev_005,-19,rbi_mpr_2026_04,,False
unchanged,,2,2,COMBINED_03,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,13,21,COMBINED_03,True,,cmp_dev_007,8,rbi_mpr_2025_10,,False
demoted,,19,7,COMBINED_03,True,,cmp_dev_007,-12,rbi_mpr_2026_04,,False
promoted,,1,12,COMBINED_03,True,,cmp_dev_008,11,rbi_mpr_2025_10,,False
promoted,,7,23,COMBINED_03,True,,cmp_dev_009,16,rbi_mpr_2026_04,,False
promoted,,1,5,COMBINED_03,True,,cmp_dev_011,4,rbi_mpr_2025_04,,False
demoted,,23,10,COMBINED_03,True,,cmp_dev_011,-13,rbi_mpr_2026_04,,False
demoted,,10,5,COMBINED_03,True,,cmp_dev_012,-5,rbi_mpr_2025_04,,False
promoted,,2,11,COMBINED_03,True,,cmp_dev_012,9,rbi_mpr_2026_04,,False
promoted,,13,27,COMBINED_03,True,,trend_dev_001,14,rbi_mpr_2025_10,,False
demoted,,11,5,COMBINED_03,True,,trend_dev_002,-6,rbi_mpr_2025_10,,False
promoted,,1,8,COMBINED_03,True,,trend_dev_003,7,rbi_mpr_2025_04,,False
promoted,,2,10,COMBINED_03,True,,trend_dev_003,8,rbi_mpr_2025_10,,False
promoted,,6,7,COMBINED_03,True,,trend_dev_003,1,rbi_mpr_2026_04,,False
demoted,,2,1,COMBINED_03,True,,trend_dev_005,-1,rbi_mpr_2025_04,,False
promoted,,1,9,COMBINED_03,True,,trend_dev_005,8,rbi_mpr_2025_10,,False
promoted,,2,9,COMBINED_03,True,,trend_dev_005,7,rbi_mpr_2026_04,,False
demoted,,2,1,COMBINED_03,True,,trend_dev_006,-1,rbi_mpr_2025_04,,False
demoted,,5,2,COMBINED_03,True,,trend_dev_006,-3,rbi_mpr_2025_10,,False
promoted,,4,8,COMBINED_03,True,,trend_dev_006,4,rbi_mpr_2026_04,,False
unchanged,,1,1,CP01,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
demoted,,11,6,CP01,True,,oct_dev_002,-5,rbi_mpr_2025_10,,False
promoted,,3,10,CP01,True,,oct_dev_003,7,rbi_mpr_2025_10,,False
unchanged,,1,1,CP01,True,,oct_dev_004,0,rbi_mpr_2025_10,,False
promoted,,5,8,CP01,True,,oct_dev_005,3,rbi_mpr_2025_10,,False
unchanged,,1,1,CP01,True,,oct_dev_006,0,rbi_mpr_2025_10,,False
demoted,,2,1,CP01,True,,apr26_dev_001,-1,rbi_mpr_2026_04,,False
demoted,,9,4,CP01,True,,apr26_dev_003,-5,rbi_mpr_2026_04,,False
promoted,,7,12,CP01,True,,apr26_dev_005,5,rbi_mpr_2026_04,,False
demoted,,3,2,CP01,True,,apr26_dev_006,-1,rbi_mpr_2026_04,,False
promoted,,1,15,CP01,True,,cmp_dev_001,14,rbi_mpr_2025_04,,False
demoted,,4,1,CP01,True,,cmp_dev_001,-3,rbi_mpr_2025_10,,False
unchanged,,1,1,CP01,True,,cmp_dev_002,0,rbi_mpr_2025_04,,False
demoted,,2,1,CP01,True,,cmp_dev_002,-1,rbi_mpr_2025_10,,False
unchanged,,1,1,CP01,True,,cmp_dev_003,0,rbi_mpr_2025_04,,False
unchanged,,1,1,CP01,True,,cmp_dev_003,0,rbi_mpr_2025_10,,False
demoted,,2,1,CP01,True,,cmp_dev_005,-1,rbi_mpr_2025_10,,False
demoted,,14,2,CP01,True,,cmp_dev_005,-12,rbi_mpr_2026_04,,False
unchanged,,2,2,CP01,True,,cmp_dev_006,0,rbi_mpr_2025_10,,False
promoted,,10,13,CP01,True,,cmp_dev_007,3,rbi_mpr_2025_10,,False
promoted,,1,4,CP01,True,,cmp_dev_008,3,rbi_mpr_2025_10,,False
promoted,,1,8,CP01,True,,cmp_dev_011,7,rbi_mpr_2025_04,,False
unchanged,,9,9,CP01,True,,cmp_dev_012,0,rbi_mpr_2025_04,,False
promoted,,1,5,CP01,True,,cmp_dev_012,4,rbi_mpr_2026_04,,False
promoted,,2,3,CP01,True,,trend_dev_003,1,rbi_mpr_2025_04,,False
promoted,,1,6,CP01,True,,trend_dev_003,5,rbi_mpr_2025_10,,False
demoted,,3,1,CP01,True,,trend_dev_005,-2,rbi_mpr_2025_04,,False
promoted,,1,7,CP01,True,,trend_dev_005,6,rbi_mpr_2025_10,,False
promoted,,2,5,CP01,True,,trend_dev_005,3,rbi_mpr_2026_04,,False
demoted,,2,1,CP01,True,,trend_dev_006,-1,rbi_mpr_2025_04,,False
demoted,,6,2,CP01,True,,trend_dev_006,-4,rbi_mpr_2025_10,,False
demoted,,4,1,CP01,True,,trend_dev_006,-3,rbi_mpr_2026_04,,False
unchanged,,1,1,CP02,True,,oct_dev_001,0,rbi_mpr_2025_10,,False
demoted,,10,6,CP02,True,,oct_dev_002,-4,rbi_mpr_2025_10,,False
