experiment_id,final_found,loss_stage,query_type,question_id,report_id,structural_strategy
CPARENT01,True,evidence_found,single_report,oct_dev_001,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,single_report,oct_dev_002,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,single_report,oct_dev_003,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,single_report,oct_dev_004,rbi_mpr_2025_10,child_parent
CPARENT01,False,lost_by_deduplication,single_report,oct_dev_005,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,single_report,oct_dev_006,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,single_report,apr26_dev_001,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_by_deduplication,single_report,apr26_dev_002,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_by_deduplication,single_report,apr26_dev_003,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_by_deduplication,single_report,apr26_dev_004,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_by_deduplication,single_report,apr26_dev_005,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,single_report,apr26_dev_006,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_10,child_parent
CPARENT01,False,lost_in_fusion,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_005,rbi_mpr_2025_10,child_parent
CPARENT01,False,lost_by_deduplication,pairwise_comparison,cmp_dev_005,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_006,rbi_mpr_2025_10,child_parent
CPARENT01,False,lost_in_fusion,pairwise_comparison,cmp_dev_006,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_by_deduplication,pairwise_comparison,cmp_dev_007,rbi_mpr_2025_10,child_parent
CPARENT01,False,lost_by_deduplication,pairwise_comparison,cmp_dev_007,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_008,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_008,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_in_fusion,pairwise_comparison,cmp_dev_009,rbi_mpr_2025_04,child_parent
CPARENT01,False,lost_in_fusion,pairwise_comparison,cmp_dev_009,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_in_fusion,pairwise_comparison,cmp_dev_010,rbi_mpr_2025_04,child_parent
CPARENT01,False,lost_in_fusion,pairwise_comparison,cmp_dev_010,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_011,rbi_mpr_2025_04,child_parent
CPARENT01,False,lost_by_deduplication,pairwise_comparison,cmp_dev_011,rbi_mpr_2026_04,child_parent
CPARENT01,False,lost_by_deduplication,pairwise_comparison,cmp_dev_012,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,pairwise_comparison,cmp_dev_012,rbi_mpr_2026_04,child_parent
CPARENT01,False,not_in_candidate_union,trend_all_reports,trend_dev_001,rbi_mpr_2025_04,child_parent
CPARENT01,False,lost_in_fusion,trend_all_reports,trend_dev_001,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_001,rbi_mpr_2026_04,child_parent
CPARENT01,False,not_in_candidate_union,trend_all_reports,trend_dev_002,rbi_mpr_2025_04,child_parent
CPARENT01,False,lost_by_deduplication,trend_all_reports,trend_dev_002,rbi_mpr_2025_10,child_parent
CPARENT01,False,not_in_candidate_union,trend_all_reports,trend_dev_002,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_003,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_003,rbi_mpr_2025_10,child_parent
CPARENT01,False,lost_by_deduplication,trend_all_reports,trend_dev_003,rbi_mpr_2026_04,child_parent
CPARENT01,False,not_in_candidate_union,trend_all_reports,trend_dev_004,rbi_mpr_2025_04,child_parent
CPARENT01,False,not_in_candidate_union,trend_all_reports,trend_dev_004,rbi_mpr_2025_10,child_parent
CPARENT01,False,not_in_candidate_union,trend_all_reports,trend_dev_004,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_005,rbi_mpr_2025_04,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_005,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_005,rbi_mpr_2026_04,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_006,rbi_mpr_2025_04,child_parent
CPARENT01,False,lost_by_deduplication,trend_all_reports,trend_dev_006,rbi_mpr_2025_10,child_parent
CPARENT01,True,evidence_found,trend_all_reports,trend_dev_006,rbi_mpr_2026_04,child_parent
