all_reports_hit,case_count,category,category_type,complete_evidence_recall,evidence_recall,experiment_id,macro_mrr
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.4583333333333333,ADJ00,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,ADJ00,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.16666666666666666,0.4444444444444444,ADJ00,0.26851851851851855
,4,unsupported_period,query_type,,,ADJ00,0.0
0.4,34,single_facet,question_structure,0.36666666666666664,0.5055555555555555,ADJ00,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,ADJ00,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.5,0.75,ADJ00,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,ADJ00,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,ADJ00,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.375,ADJ00,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.16666666666666666,0.4444444444444444,ADJ00,0.26851851851851855
,4,unsupported,report_pair,,,ADJ00,0.0
0.5,2,chart_or_figure,source_structure,0.5,0.5,ADJ00,0.5
0.0,2,mixed,source_structure,0.0,0.0,ADJ00,0.0
0.4074074074074074,30,narrative,source_structure,0.37037037037037035,0.5246913580246914,ADJ00,0.32037037037037036
0.5,2,core_inflation,topic,0.5,0.5,ADJ00,0.16666666666666666
0.6,5,food_inflation,topic,0.6,0.7666666666666667,ADJ00,0.4083333333333333
0.0,6,growth,topic,0.0,0.08333333333333333,ADJ00,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,ADJ00,0.0
0.5454545454545454,14,other,topic,0.45454545454545453,0.6515151515151515,ADJ00,0.4880952380952381
0.4,6,policy_rate,topic,0.4,0.5333333333333333,ADJ00,0.21296296296296294
0.16666666666666666,12,pairwise_comparison,query_type,0.16666666666666666,0.4166666666666667,ADJ01,0.32222222222222224
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,ADJ01,0.3361111111111111
0.0,6,trend_all_reports,query_type,0.0,0.27777777777777773,ADJ01,0.19629629629629627
,4,unsupported_period,query_type,,,ADJ01,0.0
0.3,34,single_facet,question_structure,0.3,0.45555555555555555,ADJ01,0.2669934640522876
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,ADJ01,0.25
0.25,4,April 2025 vs October 2025,report_pair,0.25,0.5,ADJ01,0.4
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,ADJ01,0.1111111111111111
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,ADJ01,0.5611111111111111
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.5,ADJ01,0.31666666666666665
0.0,6,all three reports,report_pair,0.0,0.27777777777777773,ADJ01,0.19629629629629627
,4,unsupported,report_pair,,,ADJ01,0.0
0.5,2,chart_or_figure,source_structure,0.5,0.5,ADJ01,0.5
0.0,2,mixed,source_structure,0.0,0.0,ADJ01,0.0
0.2962962962962963,30,narrative,source_structure,0.2962962962962963,0.4691358024691358,ADJ01,0.26925925925925925
0.5,2,core_inflation,topic,0.5,0.5,ADJ01,0.1
0.4,5,food_inflation,topic,0.4,0.6,ADJ01,0.33999999999999997
0.0,6,growth,topic,0.0,0.0,ADJ01,0.0
0.0,1,inflation,topic,0.0,0.0,ADJ01,0.0
0.45454545454545453,14,other,topic,0.45454545454545453,0.696969696969697,ADJ01,0.44841269841269843
0.2,6,policy_rate,topic,0.2,0.4,ADJ01,0.15
0.16666666666666666,12,pairwise_comparison,query_type,0.08333333333333333,0.3333333333333333,ADJ02,0.2791666666666667
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,ADJ02,0.32222222222222224
0.0,6,trend_all_reports,query_type,0.0,0.2222222222222222,ADJ02,0.17460317460317457
,4,unsupported_period,query_type,,,ADJ02,0.0
0.3,34,single_facet,question_structure,0.26666666666666666,0.41111111111111115,ADJ02,0.2430672268907563
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.125,ADJ02,0.125
0.25,4,April 2025 vs October 2025,report_pair,0.0,0.375,ADJ02,0.4
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,ADJ02,0.08333333333333333
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,ADJ02,0.5611111111111111
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.5,ADJ02,0.3125
0.0,6,all three reports,report_pair,0.0,0.2222222222222222,ADJ02,0.17460317460317457
,4,unsupported,report_pair,,,ADJ02,0.0
0.5,2,chart_or_figure,source_structure,0.5,0.5,ADJ02,0.5
0.0,2,mixed,source_structure,0.0,0.0,ADJ02,0.0
0.2962962962962963,30,narrative,source_structure,0.25925925925925924,0.4197530864197531,ADJ02,0.24214285714285713
0.5,2,core_inflation,topic,0.5,0.5,ADJ02,0.1
0.4,5,food_inflation,topic,0.4,0.6,ADJ02,0.30333333333333334
0.0,6,growth,topic,0.0,0.0,ADJ02,0.0
0.0,1,inflation,topic,0.0,0.0,ADJ02,0.0
0.45454545454545453,14,other,topic,0.36363636363636365,0.5757575757575757,ADJ02,0.40476190476190477
0.2,6,policy_rate,topic,0.2,0.4,ADJ02,0.14682539682539683
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.4583333333333333,ADJ03,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,ADJ03,0.3680555555555556
0.0,6,trend_all_reports,query_type,0.0,0.2222222222222222,ADJ03,0.17460317460317457
,4,unsupported_period,query_type,,,ADJ03,0.0
0.36666666666666664,34,single_facet,question_structure,0.3333333333333333,0.46111111111111114,ADJ03,0.29551820728291317
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,ADJ03,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.5,0.75,ADJ03,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,ADJ03,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,ADJ03,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.375,ADJ03,0.3541666666666667
0.0,6,all three reports,report_pair,0.0,0.2222222222222222,ADJ03,0.17460317460317457
,4,unsupported,report_pair,,,ADJ03,0.0
0.5,2,chart_or_figure,source_structure,0.5,0.5,ADJ03,0.5
0.0,2,mixed,source_structure,0.0,0.0,ADJ03,0.0
0.37037037037037035,30,narrative,source_structure,0.3333333333333333,0.47530864197530864,ADJ03,0.30158730158730157
0.5,2,core_inflation,topic,0.5,0.5,ADJ03,0.16666666666666666
0.6,5,food_inflation,topic,0.6,0.7,ADJ03,0.39166666666666666
0.0,6,growth,topic,0.0,0.08333333333333333,ADJ03,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,ADJ03,0.0
0.5454545454545454,14,other,topic,0.45454545454545453,0.6212121212121212,ADJ03,0.4761904761904762
0.2,6,policy_rate,topic,0.2,0.4,ADJ03,0.1607142857142857
0.3333333333333333,12,pairwise_comparison,query_type,0.08333333333333333,0.2916666666666667,CPARENT01,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.3333333333333333,0.3333333333333333,CPARENT01,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.16666666666666666,0.27777777777777773,CPARENT01,0.26851851851851855
,4,unsupported_period,query_type,,,CPARENT01,0.0
0.4,34,single_facet,question_structure,0.2,0.3055555555555555,CPARENT01,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.125,CPARENT01,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.25,0.5,CPARENT01,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.0,0.0,CPARENT01,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.6666666666666666,0.6666666666666666,CPARENT01,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.0,0.25,CPARENT01,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.16666666666666666,0.27777777777777773,CPARENT01,0.26851851851851855
,4,unsupported,report_pair,,,CPARENT01,0.0
0.5,2,chart_or_figure,source_structure,0.0,0.25,CPARENT01,0.5
0.0,2,mixed,source_structure,0.0,0.0,CPARENT01,0.0
0.4074074074074074,30,narrative,source_structure,0.2222222222222222,0.32098765432098764,CPARENT01,0.32037037037037036
0.5,2,core_inflation,topic,0.5,0.5,CPARENT01,0.16666666666666666
0.6,5,food_inflation,topic,0.4,0.5,CPARENT01,0.4083333333333333
0.0,6,growth,topic,0.0,0.0,CPARENT01,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,CPARENT01,0.0
0.5454545454545454,14,other,topic,0.18181818181818182,0.3939393939393939,CPARENT01,0.4880952380952381
0.4,6,policy_rate,topic,0.2,0.26666666666666666,CPARENT01,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.0,0.20833333333333334,CPARENT02,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.16666666666666666,0.16666666666666666,CPARENT02,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.0,0.2222222222222222,CPARENT02,0.26851851851851855
,4,unsupported_period,query_type,,,CPARENT02,0.0
0.4,34,single_facet,question_structure,0.06666666666666667,0.19444444444444445,CPARENT02,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.125,CPARENT02,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.0,0.375,CPARENT02,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.0,0.0,CPARENT02,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.3333333333333333,0.3333333333333333,CPARENT02,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.0,0.125,CPARENT02,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.0,0.2222222222222222,CPARENT02,0.26851851851851855
,4,unsupported,report_pair,,,CPARENT02,0.0
0.5,2,chart_or_figure,source_structure,0.0,0.25,CPARENT02,0.5
0.0,2,mixed,source_structure,0.0,0.0,CPARENT02,0.0
0.4074074074074074,30,narrative,source_structure,0.07407407407407407,0.19753086419753085,CPARENT02,0.32037037037037036
0.5,2,core_inflation,topic,0.0,0.0,CPARENT02,0.16666666666666666
0.6,5,food_inflation,topic,0.0,0.1,CPARENT02,0.4083333333333333
0.0,6,growth,topic,0.0,0.0,CPARENT02,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,CPARENT02,0.0
0.5454545454545454,14,other,topic,0.18181818181818182,0.3939393939393939,CPARENT02,0.4880952380952381
0.4,6,policy_rate,topic,0.0,0.2,CPARENT02,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.08333333333333333,0.2916666666666667,CPARENT03,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.25,0.25,CPARENT03,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.0,0.2222222222222222,CPARENT03,0.26851851851851855
,4,unsupported_period,query_type,,,CPARENT03,0.0
0.4,34,single_facet,question_structure,0.13333333333333333,0.2611111111111111,CPARENT03,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.125,CPARENT03,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.25,0.5,CPARENT03,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.0,0.0,CPARENT03,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.5,0.5,CPARENT03,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.0,0.25,CPARENT03,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.0,0.2222222222222222,CPARENT03,0.26851851851851855
,4,unsupported,report_pair,,,CPARENT03,0.0
0.5,2,chart_or_figure,source_structure,0.0,0.25,CPARENT03,0.5
0.0,2,mixed,source_structure,0.0,0.0,CPARENT03,0.0
0.4074074074074074,30,narrative,source_structure,0.14814814814814814,0.2716049382716049,CPARENT03,0.32037037037037036
0.5,2,core_inflation,topic,0.5,0.5,CPARENT03,0.16666666666666666
0.6,5,food_inflation,topic,0.4,0.5,CPARENT03,0.4083333333333333
0.0,6,growth,topic,0.0,0.0,CPARENT03,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,CPARENT03,0.0
0.5454545454545454,14,other,topic,0.09090909090909091,0.30303030303030304,CPARENT03,0.4880952380952381
0.4,6,policy_rate,topic,0.0,0.2,CPARENT03,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.4583333333333333,EMB00,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,EMB00,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.16666666666666666,0.4444444444444444,EMB00,0.26851851851851855
,4,unsupported_period,query_type,,,EMB00,0.0
0.4,34,single_facet,question_structure,0.36666666666666664,0.5055555555555555,EMB00,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,EMB00,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.5,0.75,EMB00,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,EMB00,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,EMB00,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.375,EMB00,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.16666666666666666,0.4444444444444444,EMB00,0.26851851851851855
,4,unsupported,report_pair,,,EMB00,0.0
0.5,2,chart_or_figure,source_structure,0.5,0.5,EMB00,0.5
0.0,2,mixed,source_structure,0.0,0.0,EMB00,0.0
0.4074074074074074,30,narrative,source_structure,0.37037037037037035,0.5246913580246914,EMB00,0.32037037037037036
0.5,2,core_inflation,topic,0.5,0.5,EMB00,0.16666666666666666
0.6,5,food_inflation,topic,0.6,0.7666666666666667,EMB00,0.4083333333333333
0.0,6,growth,topic,0.0,0.08333333333333333,EMB00,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,EMB00,0.0
0.5454545454545454,14,other,topic,0.45454545454545453,0.6515151515151515,EMB00,0.4880952380952381
0.4,6,policy_rate,topic,0.4,0.5333333333333333,EMB00,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.4583333333333333,PARSER00,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,PARSER00,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.16666666666666666,0.4444444444444444,PARSER00,0.26851851851851855
,4,unsupported_period,query_type,,,PARSER00,0.0
0.4,34,single_facet,question_structure,0.36666666666666664,0.5055555555555555,PARSER00,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,PARSER00,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.5,0.75,PARSER00,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,PARSER00,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,PARSER00,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.375,PARSER00,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.16666666666666666,0.4444444444444444,PARSER00,0.26851851851851855
,4,unsupported,report_pair,,,PARSER00,0.0
0.5,2,chart_or_figure,source_structure,0.5,0.5,PARSER00,0.5
0.0,2,mixed,source_structure,0.0,0.0,PARSER00,0.0
0.4074074074074074,30,narrative,source_structure,0.37037037037037035,0.5246913580246914,PARSER00,0.32037037037037036
0.5,2,core_inflation,topic,0.5,0.5,PARSER00,0.16666666666666666
0.6,5,food_inflation,topic,0.6,0.7666666666666667,PARSER00,0.4083333333333333
0.0,6,growth,topic,0.0,0.08333333333333333,PARSER00,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,PARSER00,0.0
0.5454545454545454,14,other,topic,0.45454545454545453,0.6515151515151515,PARSER00,0.4880952380952381
0.4,6,policy_rate,topic,0.4,0.5333333333333333,PARSER00,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.4583333333333333,RERANK00,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,RERANK00,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.16666666666666666,0.4444444444444444,RERANK00,0.26851851851851855
,4,unsupported_period,query_type,,,RERANK00,0.0
