all_reports_hit,case_count,category,category_type,complete_evidence_recall,evidence_recall,experiment_id,macro_report_mrr,mean_estimated_tokens,mean_latency_ms,mean_selected_chunks,median_latency_ms,p95_latency_ms,report_coverage,scored_case_count,single_report_contamination
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.4583333333333333,V2_BASELINE_FINAL,0.3819444444444444,2425.0,3384.9357666646633,10.0,3317.6713999928324,3799.4935999886366,1.0,12,
0.5833333333333334,12,single_report,query_type,0.5833333333333334,0.5833333333333334,V2_BASELINE_FINAL,0.3680555555555556,1401.5833333333333,1768.0656666695238,6.0,1705.8046000020113,1914.2752000043401,1.0,12,0.0
0.16666666666666666,6,trend_all_reports,query_type,0.16666666666666666,0.4444444444444444,V2_BASELINE_FINAL,0.26851851851851855,3101.5,5537.01698332831,13.0,5238.667799989344,5985.532599996077,1.0,6,
,4,unsupported_period,query_type,,,V2_BASELINE_FINAL,,,,,,,,0,
0.4,34,single_facet,question_structure,0.36666666666666664,0.5055555555555555,V2_BASELINE_FINAL,0.3537037037037037,2150.9333333333334,3168.6039699993366,9.0,3159.0397500112886,5449.888599992846,1.0,30,0.0
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,V2_BASELINE_FINAL,0.25,2428.75,3422.0539500020095,10.0,3386.942850003834,3570.6426999968244,1.0,4,
0.75,4,April 2025 vs October 2025,report_pair,0.5,0.75,V2_BASELINE_FINAL,0.5416666666666666,2443.0,3394.483724998281,10.0,3376.8727999922703,3464.605399989523,1.0,4,
0.3333333333333333,6,April 2026,report_pair,0.3333333333333333,0.3333333333333333,V2_BASELINE_FINAL,0.13888888888888887,1407.6666666666667,1837.7844333372195,6.0,1682.982100006484,1743.8460999983363,1.0,6,0.0
0.8333333333333334,6,October 2025,report_pair,0.8333333333333334,0.8333333333333334,V2_BASELINE_FINAL,0.5972222222222222,1395.5,1698.3469000018279,6.0,1705.8046000020113,1783.7148999824421,1.0,6,0.0
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.375,V2_BASELINE_FINAL,0.3541666666666667,2403.25,3338.2696249937,10.0,3193.1270499990205,3346.2025999906473,1.0,4,
0.16666666666666666,6,all three reports,report_pair,0.16666666666666666,0.4444444444444444,V2_BASELINE_FINAL,0.26851851851851855,3101.5,5537.01698332831,13.0,5238.667799989344,5985.532599996077,1.0,6,
,4,unsupported,report_pair,,,V2_BASELINE_FINAL,,,,,,,,0,
0.0,1,chart_or_figure,source_structure,0.0,0.0,V2_BASELINE_FINAL,0.0,1405.0,1743.8460999983363,6.0,1743.8460999983363,1743.8460999983363,1.0,1,0.0
0.4,6,mixed,source_structure,0.2,0.3,V2_BASELINE_FINAL,0.2,2213.8,3265.146039996762,9.4,3257.0876000099815,3570.6426999968244,1.0,5,0.0
0.5,19,narrative,source_structure,0.5,0.625,V2_BASELINE_FINAL,0.4053819444444444,2105.9375,3018.5086874998888,8.8125,3018.394550002995,5008.84289998794,1.0,16,0.0
0.25,8,table,source_structure,0.25,0.4583333333333333,V2_BASELINE_FINAL,0.390625,2294.875,3586.5504749999673,9.5,3317.6713999928324,5027.446999985841,1.0,8,0.0
0.6,13,False,table_or_numeric_questions,0.6,0.7,V2_BASELINE_FINAL,0.5111111111111111,1839.9,2613.3246600002167,7.8,2354.6732499962673,4033.151999974507,1.0,10,0.0
0.3,21,True,table_or_numeric_questions,0.25,0.4083333333333333,V2_BASELINE_FINAL,0.275,2306.45,3446.243624998897,9.6,3317.6713999928324,5985.532599996077,1.0,20,0.0
0.4,5,commodity_assumptions,topic,0.4,0.6333333333333333,V2_BASELINE_FINAL,0.6,2128.0,2969.99538000091,8.8,3203.2430000108434,3464.605399989523,1.0,5,0.0
0.5,2,core_inflation,topic,0.5,0.5,V2_BASELINE_FINAL,0.16666666666666666,1406.5,1668.106050012284,6.0,1668.106050012284,1637.2118000144837,1.0,2,0.0
0.8,5,fiscal_borrowing,topic,0.8,0.9,V2_BASELINE_FINAL,0.6888888888888889,2051.0,3364.643139994587,8.8,3114.8365000117337,4033.151999974507,1.0,5,0.0
0.6,5,food_inflation,topic,0.6,0.7666666666666667,V2_BASELINE_FINAL,0.4083333333333333,2144.8,3039.874140001484,8.8,3040.0515000073938,3567.1016999986023,1.0,5,0.0
0.0,5,global_growth,topic,0.0,0.1,V2_BASELINE_FINAL,0.025,2106.4,3415.3423399984604,8.8,3289.1401999950176,3346.2025999906473,1.0,5,0.0
0.0,1,growth_outlook,topic,0.0,0.0,V2_BASELINE_FINAL,0.0,2425.0,3799.4935999886366,10.0,3799.4935999886366,3799.4935999886366,1.0,1,
0.0,1,inflation_outlook,topic,0.0,0.0,V2_BASELINE_FINAL,0.0,2377.0,3570.6426999968244,10.0,3570.6426999968244,3570.6426999968244,1.0,1,
0.3333333333333333,6,monetary_policy,topic,0.16666666666666666,0.3611111111111111,V2_BASELINE_FINAL,0.2777777777777778,2460.3333333333335,3400.4159499988114,10.333333333333334,3095.3800000061165,4713.735800003633,1.0,6,0.0
,4,unsupported,topic,,,V2_BASELINE_FINAL,,,,,,,,0,
0.3333333333333333,12,pairwise_comparison,query_type,0.25,0.5,V2_COHERE_ONLY,0.3347222222222222,2316.4166666666665,12994.577383331489,10.0,12998.048900000867,13078.981500002556,1.0,12,
0.75,12,single_report,query_type,0.75,0.75,V2_COHERE_ONLY,0.548611111111111,1387.25,6105.648974997166,6.0,6471.467949995713,6566.911199988681,1.0,12,0.0
0.3333333333333333,6,trend_all_reports,query_type,0.3333333333333333,0.5,V2_COHERE_ONLY,0.3101851851851852,3078.6666666666665,19543.317333336745,13.0,19495.89830000332,19675.42830000457,1.0,6,
,4,unsupported_period,query_type,,,V2_COHERE_ONLY,,,,,,,,0,
0.5,34,single_facet,question_structure,0.4666666666666667,0.6,V2_COHERE_ONLY,0.41537037037037033,2097.2,11548.754009998811,9.0,12948.27224999608,19517.238900007214,1.0,30,0.0
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.25,V2_COHERE_ONLY,0.16666666666666666,2339.5,12988.390074999188,10.0,13029.905050003435,13054.815800001961,1.0,4,
0.75,4,April 2025 vs October 2025,report_pair,0.5,0.75,V2_COHERE_ONLY,0.5666666666666667,2310.0,12990.828249996412,10.0,12978.34889999649,12991.103499996825,1.0,4,
0.5,6,April 2026,report_pair,0.5,0.5,V2_COHERE_ONLY,0.2916666666666667,1398.3333333333333,6494.493666660371,6.0,6508.142649996444,6521.6020999941975,1.0,6,0.0
1.0,6,October 2025,report_pair,1.0,1.0,V2_COHERE_ONLY,0.8055555555555555,1376.1666666666667,5716.804283333961,6.0,6330.576100001053,6561.3037000002805,1.0,6,0.0
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.5,V2_COHERE_ONLY,0.2708333333333333,2299.75,13004.513824998867,10.0,12997.986150003271,13038.945100008277,1.0,4,
0.3333333333333333,6,all three reports,report_pair,0.3333333333333333,0.5,V2_COHERE_ONLY,0.3101851851851852,3078.6666666666665,19543.317333336745,13.0,19495.89830000332,19675.42830000457,1.0,6,
,4,unsupported,report_pair,,,V2_COHERE_ONLY,,,,,,,,0,
0.0,1,chart_or_figure,source_structure,0.0,0.0,V2_COHERE_ONLY,0.0,1428.0,6521.6020999941975,6.0,6521.6020999941975,6521.6020999941975,1.0,1,0.0
0.6,6,mixed,source_structure,0.4,0.5,V2_COHERE_ONLY,0.16999999999999998,2205.4,11643.475019995822,9.4,12965.594299996155,13065.75699998939,1.0,5,0.0
0.5625,19,narrative,source_structure,0.5625,0.6458333333333334,V2_COHERE_ONLY,0.4496527777777778,2065.9375,11113.556812499155,8.8125,12942.330449994188,19517.238900007214,1.0,16,0.0
0.375,8,table,source_structure,0.375,0.6458333333333334,V2_COHERE_ONLY,0.5520833333333334,2175.75,12988.341762500568,9.5,12965.31039999536,19327.813800002332,1.0,8,0.0
0.6,13,False,table_or_numeric_questions,0.6,0.7,V2_COHERE_ONLY,0.5125,1799.0,9340.773849998368,7.8,6564.107449994481,13082.56569999503,1.0,10,0.0
0.45,21,True,table_or_numeric_questions,0.4,0.55,V2_COHERE_ONLY,0.36680555555555555,2246.3,12652.744089999032,9.6,12961.31074999721,19675.42830000457,1.0,20,0.0
0.4,5,commodity_assumptions,topic,0.4,0.6333333333333333,V2_COHERE_ONLY,0.6,2067.0,11737.992219999433,8.8,12827.993200000492,12991.103499996825,1.0,5,0.0
0.5,2,core_inflation,topic,0.5,0.5,V2_COHERE_ONLY,0.25,1459.0,6337.218499997107,6.0,6337.218499997107,6254.650000002584,1.0,2,0.0
0.8,5,fiscal_borrowing,topic,0.8,0.9,V2_COHERE_ONLY,0.6,2052.6,11756.567059998633,8.8,13054.815800001961,13082.56569999503,1.0,5,0.0
0.4,5,food_inflation,topic,0.4,0.5666666666666667,V2_COHERE_ONLY,0.4083333333333333,2041.2,10817.288199998438,8.8,12927.63369999011,13038.945100008277,1.0,5,0.0
0.4,5,global_growth,topic,0.4,0.6,V2_COHERE_ONLY,0.4833333333333333,1981.4,11650.820179999573,8.8,12939.517299993895,13078.981500002556,1.0,5,0.0
0.0,1,growth_outlook,topic,0.0,0.0,V2_COHERE_ONLY,0.0,2188.0,13004.99430000491,10.0,13004.99430000491,13004.99430000491,1.0,1,
0.0,1,inflation_outlook,topic,0.0,0.0,V2_COHERE_ONLY,0.0,2422.0,13065.75699998939,10.0,13065.75699998939,13065.75699998939,1.0,1,
0.6666666666666666,6,monetary_policy,topic,0.5,0.5833333333333334,V2_COHERE_ONLY,0.25046296296296294,2446.1666666666665,12984.015616665905,10.333333333333334,12961.31074999721,19474.557699999423,1.0,6,0.0
,4,unsupported,topic,,,V2_COHERE_ONLY,,,,,,,,0,
